'Time and date','II','MCL1','ABP'
'[12:35:34.289 03/12/3299]',-0.132,0.118,48.000
'[12:35:34.297 03/12/3299]',-0.118,0.184,47.200
'[12:35:34.305 03/12/3299]',-0.118,0.184,47.200
'[12:35:34.313 03/12/3299]',-0.118,0.184,47.200
'[12:35:34.321 03/12/3299]',-0.105,0.184,47.200
'[12:35:34.329 03/12/3299]',-0.105,0.184,47.200
'[12:35:34.337 03/12/3299]',-0.105,0.184,48.000
'[12:35:34.345 03/12/3299]',-0.092,0.184,49.600
'[12:35:34.353 03/12/3299]',-0.092,0.184,52.000
'[12:35:34.361 03/12/3299]',-0.092,0.184,56.800
'[12:35:34.369 03/12/3299]',-0.079,0.184,63.200
'[12:35:34.377 03/12/3299]',-0.079,0.184,71.200
'[12:35:34.385 03/12/3299]',-0.079,0.250,80.800
'[12:35:34.393 03/12/3299]',-0.066,0.250,89.600
'[12:35:34.401 03/12/3299]',-0.066,0.250,99.200
'[12:35:34.409 03/12/3299]',-0.066,0.250,107.200
'[12:35:34.417 03/12/3299]',-0.053,0.303,115.200
'[12:35:34.425 03/12/3299]',-0.053,0.303,122.400
'[12:35:34.433 03/12/3299]',-0.039,0.303,127.200
'[12:35:34.441 03/12/3299]',-0.039,0.368,132.000
'[12:35:34.449 03/12/3299]',-0.026,0.368,135.200
'[12:35:34.457 03/12/3299]',-0.026,0.434,136.800
'[12:35:34.465 03/12/3299]',-0.013,0.500,138.400
'[12:35:34.473 03/12/3299]',0.000,0.500,139.200
'[12:35:34.481 03/12/3299]',0.013,0.500,139.200
'[12:35:34.489 03/12/3299]',0.026,0.500,139.200
'[12:35:34.497 03/12/3299]',0.039,0.500,138.400
'[12:35:34.505 03/12/3299]',0.053,0.500,137.600
'[12:35:34.513 03/12/3299]',0.066,0.500,136.000
'[12:35:34.521 03/12/3299]',0.079,0.434,134.400
'[12:35:34.529 03/12/3299]',0.079,0.434,132.000
'[12:35:34.537 03/12/3299]',0.079,0.368,129.600
'[12:35:34.545 03/12/3299]',0.066,0.250,127.200
'[12:35:34.553 03/12/3299]',0.066,0.184,124.800
'[12:35:34.561 03/12/3299]',0.066,0.118,122.400
'[12:35:34.569 03/12/3299]',0.053,0.053,119.200
'[12:35:34.577 03/12/3299]',0.039,0.000,116.000
'[12:35:34.585 03/12/3299]',0.026,0.000,112.800
'[12:35:34.593 03/12/3299]',0.013,-0.053,109.600
'[12:35:34.601 03/12/3299]',0.013,-0.053,106.400
'[12:35:34.609 03/12/3299]',0.000,-0.118,103.200
'[12:35:34.617 03/12/3299]',0.000,-0.118,99.200
'[12:35:34.625 03/12/3299]',-0.013,-0.118,96.000
'[12:35:34.633 03/12/3299]',-0.013,-0.118,92.000
'[12:35:34.641 03/12/3299]',-0.013,-0.118,88.800
'[12:35:34.649 03/12/3299]',-0.026,-0.118,85.600
'[12:35:34.657 03/12/3299]',-0.026,-0.118,82.400
'[12:35:34.665 03/12/3299]',-0.026,-0.118,80.000
'[12:35:34.673 03/12/3299]',-0.026,-0.118,77.600
'[12:35:34.681 03/12/3299]',-0.026,-0.118,76.000
'[12:35:34.689 03/12/3299]',-0.026,-0.053,75.200
'[12:35:34.697 03/12/3299]',-0.039,-0.053,73.600
'[12:35:34.705 03/12/3299]',-0.039,-0.053,72.800
'[12:35:34.713 03/12/3299]',-0.039,-0.053,72.800
'[12:35:34.721 03/12/3299]',-0.039,-0.053,72.000
'[12:35:34.729 03/12/3299]',-0.039,-0.053,72.000
'[12:35:34.737 03/12/3299]',-0.026,-0.053,71.200
'[12:35:34.745 03/12/3299]',-0.026,-0.053,71.200
'[12:35:34.753 03/12/3299]',-0.026,-0.053,71.200
'[12:35:34.761 03/12/3299]',-0.026,-0.053,70.400
'[12:35:34.769 03/12/3299]',-0.026,-0.053,70.400
'[12:35:34.777 03/12/3299]',-0.026,-0.053,69.600
'[12:35:34.785 03/12/3299]',-0.013,-0.053,69.600
'[12:35:34.793 03/12/3299]',-0.013,-0.053,68.800
'[12:35:34.801 03/12/3299]',-0.013,-0.118,68.000
'[12:35:34.809 03/12/3299]',-0.013,-0.118,68.000
'[12:35:34.817 03/12/3299]',-0.013,-0.118,67.200
'[12:35:34.825 03/12/3299]',-0.013,-0.118,67.200
'[12:35:34.833 03/12/3299]',-0.013,-0.118,66.400
'[12:35:34.841 03/12/3299]',-0.013,-0.118,65.600
'[12:35:34.849 03/12/3299]',-0.013,-0.118,65.600
'[12:35:34.857 03/12/3299]',-0.013,-0.118,64.800
'[12:35:34.865 03/12/3299]',-0.013,-0.118,64.800
'[12:35:34.873 03/12/3299]',-0.013,-0.118,64.000
'[12:35:34.881 03/12/3299]',-0.013,-0.118,63.200
'[12:35:34.889 03/12/3299]',0.000,-0.118,63.200
'[12:35:34.897 03/12/3299]',0.000,-0.118,62.400
'[12:35:34.905 03/12/3299]',0.000,-0.118,62.400
'[12:35:34.913 03/12/3299]',0.000,-0.053,61.600
'[12:35:34.921 03/12/3299]',0.000,-0.053,60.800
'[12:35:34.929 03/12/3299]',0.013,-0.053,60.800
'[12:35:34.937 03/12/3299]',0.013,-0.053,60.000
'[12:35:34.945 03/12/3299]',0.013,-0.053,60.000
'[12:35:34.953 03/12/3299]',0.013,-0.053,59.200
'[12:35:34.961 03/12/3299]',0.039,-0.053,58.400
'[12:35:34.969 03/12/3299]',0.066,-0.053,58.400
'[12:35:34.977 03/12/3299]',0.079,-0.053,57.600
'[12:35:34.985 03/12/3299]',0.079,-0.053,57.600
'[12:35:34.993 03/12/3299]',0.079,-0.053,56.800
'[12:35:35.001 03/12/3299]',0.066,-0.053,56.800
'[12:35:35.009 03/12/3299]',0.066,-0.053,56.000
'[12:35:35.017 03/12/3299]',0.053,-0.053,56.000
'[12:35:35.025 03/12/3299]',0.066,-0.053,55.200
'[12:35:35.033 03/12/3299]',0.066,-0.053,55.200
'[12:35:35.041 03/12/3299]',0.039,-0.053,54.400
'[12:35:35.049 03/12/3299]',0.000,-0.053,54.400
'[12:35:35.057 03/12/3299]',-0.013,-0.053,54.400
'[12:35:35.065 03/12/3299]',-0.026,-0.053,53.600
'[12:35:35.073 03/12/3299]',-0.013,-0.053,53.600
'[12:35:35.081 03/12/3299]',-0.013,-0.053,53.600
'[12:35:35.089 03/12/3299]',-0.013,-0.053,52.800
'[12:35:35.097 03/12/3299]',-0.013,-0.053,52.800
'[12:35:35.105 03/12/3299]',-0.013,-0.053,52.800
'[12:35:35.113 03/12/3299]',-0.013,-0.053,52.000
'[12:35:35.121 03/12/3299]',-0.026,-0.053,52.000
'[12:35:35.129 03/12/3299]',-0.053,-0.053,52.000
'[12:35:35.137 03/12/3299]',-0.092,0.000,51.200
'[12:35:35.145 03/12/3299]',-0.118,0.118,51.200
'[12:35:35.153 03/12/3299]',0.066,0.250,51.200
'[12:35:35.161 03/12/3299]',0.382,0.553,51.200
'[12:35:35.169 03/12/3299]',0.579,0.618,50.400
'[12:35:35.177 03/12/3299]',0.487,-0.184,50.400
'[12:35:35.185 03/12/3299]',0.224,-1.368,50.400
'[12:35:35.193 03/12/3299]',0.039,-1.750,49.600
'[12:35:35.201 03/12/3299]',-0.039,-1.368,49.600
'[12:35:35.209 03/12/3299]',-0.092,-0.803,49.600
'[12:35:35.217 03/12/3299]',-0.118,-0.434,48.800
'[12:35:35.225 03/12/3299]',-0.132,-0.250,48.800
'[12:35:35.233 03/12/3299]',-0.132,-0.053,48.800
'[12:35:35.241 03/12/3299]',-0.118,0.000,48.000
'[12:35:35.249 03/12/3299]',-0.092,0.053,48.000
'[12:35:35.257 03/12/3299]',-0.092,0.118,47.200
'[12:35:35.265 03/12/3299]',-0.079,0.184,47.200
'[12:35:35.273 03/12/3299]',-0.066,0.118,47.200
'[12:35:35.281 03/12/3299]',-0.079,0.118,47.200
'[12:35:35.289 03/12/3299]',-0.066,0.184,47.200
'[12:35:35.297 03/12/3299]',-0.066,0.184,47.200
'[12:35:35.305 03/12/3299]',-0.053,0.184,48.000
'[12:35:35.313 03/12/3299]',-0.053,0.184,49.600
'[12:35:35.321 03/12/3299]',-0.053,0.184,52.800
'[12:35:35.329 03/12/3299]',-0.053,0.184,57.600
'[12:35:35.337 03/12/3299]',-0.039,0.184,64.800
'[12:35:35.345 03/12/3299]',-0.039,0.184,73.600
'[12:35:35.353 03/12/3299]',-0.039,0.250,82.400
'[12:35:35.361 03/12/3299]',-0.039,0.250,92.000
'[12:35:35.369 03/12/3299]',-0.026,0.250,101.600
'[12:35:35.377 03/12/3299]',-0.013,0.250,109.600
'[12:35:35.385 03/12/3299]',-0.013,0.250,117.600
'[12:35:35.393 03/12/3299]',-0.013,0.303,124.000
'[12:35:35.401 03/12/3299]',-0.013,0.303,129.600
'[12:35:35.409 03/12/3299]',0.000,0.368,133.600
'[12:35:35.417 03/12/3299]',0.013,0.368,136.000
'[12:35:35.425 03/12/3299]',0.026,0.434,138.400
'[12:35:35.433 03/12/3299]',0.039,0.500,139.200
'[12:35:35.441 03/12/3299]',0.039,0.500,140.000
'[12:35:35.449 03/12/3299]',0.053,0.500,140.000
'[12:35:35.457 03/12/3299]',0.079,0.500,140.000
'[12:35:35.465 03/12/3299]',0.092,0.500,139.200
'[12:35:35.473 03/12/3299]',0.105,0.500,137.600
'[12:35:35.481 03/12/3299]',0.105,0.500,136.000
'[12:35:35.489 03/12/3299]',0.105,0.434,134.400
'[12:35:35.497 03/12/3299]',0.105,0.368,132.000
'[12:35:35.505 03/12/3299]',0.118,0.303,129.600
'[12:35:35.513 03/12/3299]',0.105,0.250,127.200
'[12:35:35.521 03/12/3299]',0.105,0.184,124.800
'[12:35:35.529 03/12/3299]',0.092,0.118,121.600
'[12:35:35.537 03/12/3299]',0.092,0.053,119.200
'[12:35:35.545 03/12/3299]',0.079,0.000,116.000
'[12:35:35.553 03/12/3299]',0.053,-0.053,112.800
'[12:35:35.561 03/12/3299]',0.039,-0.053,109.600
'[12:35:35.569 03/12/3299]',0.053,-0.118,106.400
'[12:35:35.577 03/12/3299]',0.039,-0.118,102.400
'[12:35:35.585 03/12/3299]',0.039,-0.118,98.400
'[12:35:35.593 03/12/3299]',0.039,-0.118,95.200
'[12:35:35.601 03/12/3299]',0.039,-0.118,91.200
'[12:35:35.609 03/12/3299]',0.013,-0.118,88.000
'[12:35:35.617 03/12/3299]',0.013,-0.118,84.800
'[12:35:35.625 03/12/3299]',0.013,-0.118,81.600
'[12:35:35.633 03/12/3299]',0.013,-0.118,79.200
'[12:35:35.641 03/12/3299]',0.013,-0.118,77.600
'[12:35:35.649 03/12/3299]',0.000,-0.118,76.000
'[12:35:35.657 03/12/3299]',0.013,-0.118,74.400
'[12:35:35.665 03/12/3299]',0.013,-0.118,73.600
'[12:35:35.673 03/12/3299]',0.013,-0.118,72.800
'[12:35:35.681 03/12/3299]',0.000,-0.053,72.000
'[12:35:35.689 03/12/3299]',0.000,-0.053,72.000
'[12:35:35.697 03/12/3299]',0.000,-0.118,71.200
'[12:35:35.705 03/12/3299]',0.013,-0.118,71.200
'[12:35:35.713 03/12/3299]',0.026,-0.118,70.400
'[12:35:35.721 03/12/3299]',0.026,-0.118,70.400
'[12:35:35.729 03/12/3299]',0.013,-0.118,69.600
'[12:35:35.737 03/12/3299]',0.013,-0.118,69.600
'[12:35:35.745 03/12/3299]',0.026,-0.118,68.800
'[12:35:35.753 03/12/3299]',0.026,-0.118,68.000
'[12:35:35.761 03/12/3299]',0.026,-0.118,68.000
'[12:35:35.769 03/12/3299]',0.026,-0.118,67.200
'[12:35:35.777 03/12/3299]',0.026,-0.118,66.400
'[12:35:35.785 03/12/3299]',0.026,-0.118,66.400
'[12:35:35.793 03/12/3299]',0.039,-0.118,65.600
'[12:35:35.801 03/12/3299]',0.026,-0.118,65.600
'[12:35:35.809 03/12/3299]',0.026,-0.118,64.800
'[12:35:35.817 03/12/3299]',0.039,-0.118,64.000
'[12:35:35.825 03/12/3299]',0.039,-0.118,64.000
'[12:35:35.833 03/12/3299]',0.026,-0.118,63.200
'[12:35:35.841 03/12/3299]',0.026,-0.118,62.400
'[12:35:35.849 03/12/3299]',0.026,-0.118,62.400
'[12:35:35.857 03/12/3299]',0.026,-0.118,61.600
'[12:35:35.865 03/12/3299]',0.039,-0.118,61.600
'[12:35:35.873 03/12/3299]',0.039,-0.118,60.800
'[12:35:35.881 03/12/3299]',0.026,-0.118,60.000
'[12:35:35.889 03/12/3299]',0.026,-0.118,60.000
'[12:35:35.897 03/12/3299]',0.039,-0.118,59.200
'[12:35:35.905 03/12/3299]',0.053,-0.053,59.200
'[12:35:35.913 03/12/3299]',0.066,-0.053,58.400
'[12:35:35.921 03/12/3299]',0.066,-0.053,58.400
'[12:35:35.929 03/12/3299]',0.079,-0.053,57.600
'[12:35:35.937 03/12/3299]',0.092,-0.053,57.600
'[12:35:35.945 03/12/3299]',0.105,-0.053,56.800
'[12:35:35.953 03/12/3299]',0.118,-0.053,56.000
'[12:35:35.961 03/12/3299]',0.105,-0.118,56.000
'[12:35:35.969 03/12/3299]',0.092,-0.118,55.200
'[12:35:35.977 03/12/3299]',0.092,-0.118,55.200
'[12:35:35.985 03/12/3299]',0.092,-0.118,54.400
'[12:35:35.993 03/12/3299]',0.092,-0.118,54.400
'[12:35:36.001 03/12/3299]',0.079,-0.118,53.600
'[12:35:36.009 03/12/3299]',0.039,-0.118,53.600
'[12:35:36.017 03/12/3299]',0.013,-0.118,53.600
'[12:35:36.025 03/12/3299]',0.000,-0.118,52.800
'[12:35:36.033 03/12/3299]',0.000,-0.118,52.800
'[12:35:36.041 03/12/3299]',0.000,-0.118,52.000
'[12:35:36.049 03/12/3299]',0.000,-0.118,52.000
'[12:35:36.057 03/12/3299]',-0.013,-0.053,52.000
'[12:35:36.065 03/12/3299]',-0.026,-0.053,51.200
'[12:35:36.073 03/12/3299]',-0.013,-0.053,51.200
'[12:35:36.081 03/12/3299]',0.000,-0.053,51.200
'[12:35:36.089 03/12/3299]',-0.013,-0.053,51.200
'[12:35:36.097 03/12/3299]',-0.066,0.000,50.400
'[12:35:36.105 03/12/3299]',-0.132,0.053,50.400
'[12:35:36.113 03/12/3299]',-0.092,0.184,50.400
'[12:35:36.121 03/12/3299]',0.132,0.303,50.400
'[12:35:36.129 03/12/3299]',0.382,0.553,49.600
'[12:35:36.137 03/12/3299]',0.447,0.250,49.600
'[12:35:36.145 03/12/3299]',0.250,-0.803,49.600
'[12:35:36.153 03/12/3299]',0.039,-1.750,49.600
'[12:35:36.161 03/12/3299]',-0.039,-1.803,48.800
'[12:35:36.169 03/12/3299]',-0.053,-1.118,48.800
'[12:35:36.177 03/12/3299]',-0.079,-0.618,48.800
'[12:35:36.185 03/12/3299]',-0.105,-0.303,48.000
'[12:35:36.193 03/12/3299]',-0.118,-0.118,48.000
'[12:35:36.201 03/12/3299]',-0.092,0.000,47.200
'[12:35:36.209 03/12/3299]',-0.079,0.053,47.200
'[12:35:36.217 03/12/3299]',-0.066,0.118,47.200
'[12:35:36.225 03/12/3299]',-0.066,0.118,46.400
'[12:35:36.233 03/12/3299]',-0.053,0.184,46.400
'[12:35:36.241 03/12/3299]',-0.053,0.184,46.400
'[12:35:36.249 03/12/3299]',-0.053,0.184,46.400
'[12:35:36.257 03/12/3299]',-0.053,0.184,46.400
'[12:35:36.265 03/12/3299]',-0.039,0.184,46.400
'[12:35:36.273 03/12/3299]',-0.039,0.184,47.200
'[12:35:36.281 03/12/3299]',-0.039,0.184,48.800
'[12:35:36.289 03/12/3299]',-0.053,0.184,52.000
'[12:35:36.297 03/12/3299]',-0.053,0.184,56.800
'[12:35:36.305 03/12/3299]',-0.039,0.250,64.000
'[12:35:36.313 03/12/3299]',-0.039,0.250,72.000
'[12:35:36.321 03/12/3299]',-0.039,0.250,81.600
'[12:35:36.329 03/12/3299]',-0.039,0.250,92.000
'[12:35:36.337 03/12/3299]',-0.039,0.303,100.800
'[12:35:36.345 03/12/3299]',-0.039,0.303,109.600
'[12:35:36.353 03/12/3299]',-0.039,0.303,117.600
'[12:35:36.361 03/12/3299]',-0.026,0.368,124.800
'[12:35:36.369 03/12/3299]',-0.026,0.368,129.600
'[12:35:36.377 03/12/3299]',-0.026,0.434,133.600
'[12:35:36.385 03/12/3299]',-0.026,0.434,136.800
'[12:35:36.393 03/12/3299]',-0.026,0.500,138.400
'[12:35:36.401 03/12/3299]',-0.026,0.500,139.200
'[12:35:36.409 03/12/3299]',-0.013,0.553,140.000
'[12:35:36.417 03/12/3299]',0.000,0.553,140.000
'[12:35:36.425 03/12/3299]',0.013,0.553,139.200
'[12:35:36.433 03/12/3299]',0.013,0.553,138.400
'[12:35:36.441 03/12/3299]',0.026,0.500,136.800
'[12:35:36.449 03/12/3299]',0.039,0.500,135.200
'[12:35:36.457 03/12/3299]',0.039,0.434,133.600
'[12:35:36.465 03/12/3299]',0.039,0.368,131.200
'[12:35:36.473 03/12/3299]',0.039,0.303,128.800
'[12:35:36.481 03/12/3299]',0.026,0.250,126.400
'[12:35:36.489 03/12/3299]',0.026,0.184,123.200
'[12:35:36.497 03/12/3299]',0.013,0.053,120.800
'[12:35:36.505 03/12/3299]',0.000,0.053,117.600
'[12:35:36.513 03/12/3299]',0.000,0.000,114.400
'[12:35:36.521 03/12/3299]',-0.013,-0.053,111.200
'[12:35:36.529 03/12/3299]',-0.026,-0.053,107.200
'[12:35:36.537 03/12/3299]',-0.026,-0.053,104.000
'[12:35:36.545 03/12/3299]',-0.039,-0.118,100.000
'[12:35:36.553 03/12/3299]',-0.039,-0.118,96.000
'[12:35:36.561 03/12/3299]',-0.039,-0.118,92.800
'[12:35:36.569 03/12/3299]',-0.053,-0.118,88.800
'[12:35:36.577 03/12/3299]',-0.053,-0.118,85.600
'[12:35:36.585 03/12/3299]',-0.053,-0.118,83.200
'[12:35:36.593 03/12/3299]',-0.053,-0.118,80.000
'[12:35:36.601 03/12/3299]',-0.053,-0.053,78.400
'[12:35:36.609 03/12/3299]',-0.066,-0.053,76.800
'[12:35:36.617 03/12/3299]',-0.066,-0.053,75.200
'[12:35:36.625 03/12/3299]',-0.066,-0.053,74.400
'[12:35:36.633 03/12/3299]',-0.053,-0.053,73.600
'[12:35:36.641 03/12/3299]',-0.066,-0.053,72.800
'[12:35:36.649 03/12/3299]',-0.066,0.000,72.800
'[12:35:36.657 03/12/3299]',-0.066,-0.053,72.000
'[12:35:36.665 03/12/3299]',-0.053,-0.053,72.000
'[12:35:36.673 03/12/3299]',-0.053,-0.053,71.200
'[12:35:36.681 03/12/3299]',-0.053,-0.053,71.200
'[12:35:36.689 03/12/3299]',-0.053,-0.053,71.200
'[12:35:36.697 03/12/3299]',-0.053,-0.053,70.400
'[12:35:36.705 03/12/3299]',-0.053,-0.053,70.400
'[12:35:36.713 03/12/3299]',-0.039,-0.053,69.600
'[12:35:36.721 03/12/3299]',-0.039,-0.053,69.600
'[12:35:36.729 03/12/3299]',-0.039,-0.053,68.800
'[12:35:36.737 03/12/3299]',-0.039,-0.053,68.800
'[12:35:36.745 03/12/3299]',-0.039,-0.053,68.000
'[12:35:36.753 03/12/3299]',-0.039,-0.053,67.200
'[12:35:36.761 03/12/3299]',-0.039,-0.118,67.200
'[12:35:36.769 03/12/3299]',-0.039,-0.118,66.400
'[12:35:36.777 03/12/3299]',-0.039,-0.118,66.400
'[12:35:36.785 03/12/3299]',-0.039,-0.118,65.600
'[12:35:36.793 03/12/3299]',-0.039,-0.118,64.800
'[12:35:36.801 03/12/3299]',-0.039,-0.118,64.800
'[12:35:36.809 03/12/3299]',-0.039,-0.053,64.000
'[12:35:36.817 03/12/3299]',-0.039,-0.118,63.200
'[12:35:36.825 03/12/3299]',-0.039,-0.053,63.200
'[12:35:36.833 03/12/3299]',-0.039,-0.053,62.400
'[12:35:36.841 03/12/3299]',-0.026,-0.053,62.400
'[12:35:36.849 03/12/3299]',-0.026,-0.053,61.600
'[12:35:36.857 03/12/3299]',-0.026,-0.053,60.800
'[12:35:36.865 03/12/3299]',-0.013,-0.053,60.800
'[12:35:36.873 03/12/3299]',-0.013,-0.053,60.000
'[12:35:36.881 03/12/3299]',-0.013,-0.053,60.000
'[12:35:36.889 03/12/3299]',0.013,-0.053,59.200
'[12:35:36.897 03/12/3299]',0.026,-0.053,59.200
'[12:35:36.905 03/12/3299]',0.053,-0.053,58.400
'[12:35:36.913 03/12/3299]',0.066,-0.053,58.400
'[12:35:36.921 03/12/3299]',0.066,-0.053,57.600
'[12:35:36.929 03/12/3299]',0.053,-0.053,56.800
'[12:35:36.937 03/12/3299]',0.039,-0.053,56.800
'[12:35:36.945 03/12/3299]',0.039,-0.053,56.800
'[12:35:36.953 03/12/3299]',0.039,-0.053,56.000
'[12:35:36.961 03/12/3299]',0.039,-0.053,56.000
'[12:35:36.969 03/12/3299]',0.026,-0.053,55.200
'[12:35:36.977 03/12/3299]',-0.013,-0.053,55.200
'[12:35:36.985 03/12/3299]',-0.039,-0.053,54.400
'[12:35:36.993 03/12/3299]',-0.053,-0.053,54.400
'[12:35:37.001 03/12/3299]',-0.053,-0.053,53.600
'[12:35:37.009 03/12/3299]',-0.053,-0.053,53.600
'[12:35:37.017 03/12/3299]',-0.053,-0.053,53.600
'[12:35:37.025 03/12/3299]',-0.053,-0.053,53.600
'[12:35:37.033 03/12/3299]',-0.053,-0.053,52.800
'[12:35:37.041 03/12/3299]',-0.053,-0.053,52.800
'[12:35:37.049 03/12/3299]',-0.066,-0.053,52.800
'[12:35:37.057 03/12/3299]',-0.079,-0.053,52.000
'[12:35:37.065 03/12/3299]',-0.118,0.000,52.000
'[12:35:37.073 03/12/3299]',-0.158,0.053,52.000
'[12:35:37.081 03/12/3299]',-0.066,0.184,51.200
'[12:35:37.089 03/12/3299]',0.224,0.434,51.200
'[12:35:37.097 03/12/3299]',0.500,0.684,51.200
'[12:35:37.105 03/12/3299]',0.553,0.250,51.200
'[12:35:37.113 03/12/3299]',0.276,-0.934,50.400
'[12:35:37.121 03/12/3299]',0.039,-1.750,50.400
'[12:35:37.129 03/12/3299]',-0.053,-1.553,50.400
'[12:35:37.137 03/12/3299]',-0.105,-1.000,49.600
'[12:35:37.145 03/12/3299]',-0.145,-0.553,49.600
'[12:35:37.153 03/12/3299]',-0.171,-0.303,49.600
'[12:35:37.161 03/12/3299]',-0.171,-0.118,48.800
'[12:35:37.169 03/12/3299]',-0.145,0.000,48.800
'[12:35:37.177 03/12/3299]',-0.132,0.053,48.800
'[12:35:37.185 03/12/3299]',-0.118,0.118,48.000
'[12:35:37.193 03/12/3299]',-0.118,0.118,48.000
'[12:35:37.201 03/12/3299]',-0.105,0.184,48.000
'[12:35:37.209 03/12/3299]',-0.105,0.184,48.000
'[12:35:37.217 03/12/3299]',-0.092,0.184,47.200
'[12:35:37.225 03/12/3299]',-0.092,0.184,48.000
'[12:35:37.233 03/12/3299]',-0.092,0.184,48.000
'[12:35:37.241 03/12/3299]',-0.092,0.184,49.600
'[12:35:37.249 03/12/3299]',-0.092,0.184,52.800
'[12:35:37.257 03/12/3299]',-0.079,0.184,56.800
'[12:35:37.265 03/12/3299]',-0.079,0.184,64.000
'[12:35:37.273 03/12/3299]',-0.079,0.184,72.000
'[12:35:37.281 03/12/3299]',-0.079,0.184,80.800
'[12:35:37.289 03/12/3299]',-0.066,0.250,90.400
'[12:35:37.297 03/12/3299]',-0.066,0.250,99.200
'[12:35:37.305 03/12/3299]',-0.066,0.250,108.000
'[12:35:37.313 03/12/3299]',-0.066,0.303,116.000
'[12:35:37.321 03/12/3299]',-0.053,0.303,122.400
'[12:35:37.329 03/12/3299]',-0.053,0.303,128.000
'[12:35:37.337 03/12/3299]',-0.039,0.368,132.800
'[12:35:37.345 03/12/3299]',-0.026,0.368,136.000
'[12:35:37.353 03/12/3299]',-0.026,0.434,138.400
'[12:35:37.361 03/12/3299]',-0.013,0.500,140.000
'[12:35:37.369 03/12/3299]',0.000,0.500,140.800
'[12:35:37.377 03/12/3299]',0.013,0.500,140.800
'[12:35:37.385 03/12/3299]',0.026,0.500,140.800
'[12:35:37.393 03/12/3299]',0.039,0.500,140.000
