CGID,LABEL
4298,"MedStu"
4300,"MD"
4301,"MedStu"
4303,"RN"
4304,"H"
4306,"RN"
4307,"MD"
4308,"RN"
4310,"MD"
4311,"RN"
4313,"MD"
4314,"MD"
4315,"MD"
4316,"MD"
4317,"MD"
4318,"MD"
4319,"MD"
4320,"MD"
4321,"MD"
4322,"MD"
4323,"MD"
4324,"RN"
4325,"MD"
2814,"MD"
2815,"RN"
2816,"MD"
2817,"MD"
2818,"MD"
2819,"MD"
2820,"MD"
2821,"MD"
2822,"MD"
2823,"MD"
2824,"MD"
2825,"StNurs"
2826,"RN"
2827,
2828,"SRT"
2829,"SRT"
2830,"RN"
2831,"SRT"
2832,"MD"
2833,"SRT"
2834,"RN"
2835,"MedStu"
2836,"PCT"
2837,"SRT"
2838,"MedStu"
2839,"MD"
2840,"RN"
2841,"MD"
2842,"CoWker"
2843,"MD"
2844,"RN"
2845,"MD"
2846,"MD"
2847,"MD"
2848,"MD"
2849,"Co-Wkr"
2850,"MD"
2851,"UCO"
2852,"MD"
2853,"MD"
2854,"RN,RPh"
2855,"CoWkr"
2856,"LS"
2857,"MedStu"
2858,"MedSt"
2859,"MedStu"
2860,"MD"
2861,"UCO"
2862,"RN"
2863,"MedStu"
2864,"MD"
2865,"MD"
2866,"StuRN"
2867,"MD"
2868,"MD"
2869,"MD"
2870,"MD"
2871,"MD,PhD"
2872,"RN"
2873,"RN"
2874,"RN"
2875,"RN"
2876,"RN"
2877,"RN"
2878,"RN"
2879,"RN"
2880,"RN"
2881,"RN"
2882,"RN"
2883,"RN"
2884,"RN"
2886,"RN"
2888,"RN"
2889,"RN"
2891,"RN"
2892,"StNurs"
2893,"RN"
2895,"RN"
2896,"RN"
2898,"RN"
2899,"MD"
2900,"MD"
2902,"RN"
2903,"RN"
2905,"RN"
2906,"RN"
2908,"RN"
2909,"RN"
2911,"MD"
2912,"CoWker"
2914,"MD"
2915,"MedSt"
2917,"RRT"
2918,"ReschA"
2919,"MD"
2921,"MD"
2922,"RRT"
2923,"MD"
2925,"MD"
2926,"MedStu"
2928,"cowker"
2929,"RN"
2930,"RRT"
2932,"MedStu"
2933,"RN"
2935,"RPh"
2936,"MD"
2937,"MD"
2939,"StNurs"
2940,"RN"
2941,"RD"
2943,"CoWkr"
2944,"SRT"
2946,"MedSt"
2947,"SRN"
2948,"SRT"
2950,"MedSt"
2951,"RN"
2953,"MedSt"
2954,"MD"
2955,"SRN"
2957,"SRN"
2958,"MD"
2960,"MD"
2961,"CoWker"
2963,"MD"
2964,"SRN"
2966,"RN"
2967,"U A"
2969,"MD"
2970,"MD"
2971,"PA-C"
2973,"MedSt"
2974,"RN"
2976,"MedSt"
2977,"RN"
2979,"MD"
2980,"MD"
2982,"MD"
2983,"SRT"
2984,"SRT"
2986,"CoWker"
2987,"RN"
2989,"StResp"
2990,"RN"
2991,"SRT"
2993,"CoWkr"
2994,"MD"
2996,"RN"
2997,"RN"
2999,"RRT"
3000,"RN"
3001,"RN"
3003,"MFD"
3004,"StPh"
3005,"StPh"
3007,"NA"
3008,"RTSt"
3010,"MD"
3011,"RN"
3012,"RN"
3013,"LICSW"
3014,"RN"
3015,"PA"
3016,"UCO"
3017,"MD"
3018,"RN"
3019,"MD"
3020,"RN"
3021,"MD"
3022,
3023,"AR"
3024,"MD"
3025,"RN"
3026,"MD"
3027,"MD"
3028,"MD"
3029,
3030,"MD"
3031,"MD"
3032,"MD"
3033,"MD"
3034,"MD"
3035,"MD"
3036,"MD"
3037,"MD"
3038,"MD"
3039,"RRT"
3040,"RN"
3041,"MD"
3042,"CRT"
3043,"RN"
3044,"RRT"
3045,"OTR/L"
3046,"MD"
3047,"RN"
3048,"MD"
3049,"MD"
3050,"RPh"
3051,"LICSW"
3052,"MD"
3053,"LICSW"
3054,"MD"
3055,"UCO"
3056,"MD"
3057,"MD"
3058,"MD"
3059,"RN"
3060,"RN"
3061,"RN"
3062,"RN"
3063,"RN"
3064,"RN"
3065,"MD"
3066,"MD"
3067,"RPh"
3068,"MD"
3069,"RPh"
3070,"MD"
3071,"MD"
3072,"MD"
3073,"MD"
3074,"MD"
3075,"MD"
3076,"MD"
3077,"MD"
3078,"MD"
3079,"RPh"
3080,"MD"
3081,"RN"
3082,"RN"
3083,"RN"
3084,"RN"
3085,"RN"
3086,"RN"
3087,"RN"
3088,"MD"
3089,"MD"
3090,"RRT"
3091,"MD"
3092,"RN"
3093,"MD"
3094,"RRT"
3096,"RRT"
3097,"RPh"
3099,"MD"
3100,"RN"
3101,"MD"
3103,"RRT"
3104,"RN"
3106,"MD"
3107,"MD"
3109,"DI"
3110,"MD"
3112,"MD"
3113,"MD"
3115,"MD"
3116,"RN"
3117,"RN"
3119,"RN"
3120,"RN"
3122,"MD"
3123,"RRT"
3125,"RN"
3126,"RN"
3128,"RN"
3129,"RN"
3130,"MD"
3132,"MD"
3133,"RRT"
3134,"RD"
3136,"RN"
3137,"RPh"
3139,"RN"
3140,"MD"
3142,"RPh"
3143,"MD"
3144,"RN"
3146,"MD"
3147,"MD"
3148,"MD"
3150,"MD"
3151,"RPh"
3153,"MD"
3154,"MD"
3156,"RN"
3157,"MD"
3159,"RN"
3160,"MD"
3162,"MD"
3163,"RN"
3164,"RN"
3166,"MD"
3167,"RRT"
3169,"RN"
3170,"MD"
3172,"MD"
3173,"RRT"
3175,"MD"
3176,"MD"
3177,"MD"
3179,"MD"
3180,"RN"
3182,"RPh"
3183,"MD"
3184,"MD"
3186,"MD"
3187,"MD"
3189,"MD"
3191,"MD"
3192,"MD"
221,"MD"
222,"MD"
223,"MD"
224,"RN"
225,"RN"
226,"RN"
227,"RN"
228,"RN"
229,"RN"
230,"RN"
231,"MD"
232,"MD"
233,"MD"
234,"MD"
235,"RN"
236,"MD"
237,"MD"
238,"RN"
239,"OTR/L"
240,"MD"
241,"MD"
242,"MD"
243,"MD"
244,"MD"
245,"RPh"
246,"MD"
247,"CoWork"
248,"RN"
249,"RRT"
250,"MD"
251,"RN"
252,"RN"
253,"RN"
254,"MD"
255,"RPh"
256,"MD"
257,"MD"
258,"MD"
259,"RPh"
260,"MD"
261,"MD"
262,"MD"
263,"MD"
264,"MD"
265,"MD"
266,"RPh"
267,"RN"
268,"MD"
269,"PT"
270,"RPh"
271,"MD"
272,"RN"
273,"UA"
274,"RN"
275,"MD"
276,"RN"
277,"MD"
278,"RPh"
279,"CoWker"
280,"PT"
281,"RRT"
282,"MD"
283,"MD"
284,"RN"
285,"RN"
286,"MD"
287,"MD"
288,"MD"
289,"MD"
290,"RRT"
291,"MD"
292,"RPh"
293,"PT"
294,"MD"
295,"RN"
296,"RRT"
297,"UA"
298,"MD"
299,"PT"
300,"MD"
301,"MD"
302,"MD"
303,"RN"
305,"RN"
306,"RN"
308,"RN"
309,"MD"
311,
312,"MD"
314,"MD"
315,"MD"
316,"MD"
318,"RRT"
319,"MD"
321,"D"
322,"PT"
323,"RN"
325,"MD"
326,"CoWker"
328,"RRT"
329,"MD"
331,"MD"
332,"MD"
334,"MD"
335,"MD"
337,"MD"
338,"MD"
339,"RN"
341,"RN"
343,"RD"
344,"MD"
346,"RN"
347,"RD"
349,"MD"
350,"MD"
351,"RN"
353,"RRT"
354,"RRT"
356,"MD"
357,"MD"
358,"RN"
360,"MD"
361,"RPh"
363,"MD"
364,"RN"
366,"MD"
367,"MD"
369,"RPh"
370,"MD"
372,"CoWork"
373,"MD"
375,"MD"
376,"MD"
378,"RN"
379,"RN"
381,"MD"
382,"MD"
384,"RN"
385,"RRT"
387,"MD"
388,"RN"
390,"MD"
391,"RN"
393,"DI"
394,"MD"
395,"MD"
397,"MD"
399,"RN"
400,"RN"
401,"RN"
403,"RN"
404,"MD"
406,"CRT"
407,"MD"
409,"RN"
410,"RN"
412,"RN"
413,"UA"
414,"MD"
416,"RN"
417,"RN"
419,"RRT"
420,"RN"
421,"RPh"
423,"RN"
424,"MD"
426,"RRT"
427,"RTS"
429,"RN"
430,"PT"
432,"DI"
433,"LICSW"
434,"MD"
436,"RPh"
437,"MD"
439,"MD"
440,"MD"
441,"OTR/L"
442,"MD"
443,"RN"
444,"MD"
445,"MD"
446,"MD"
447,"OTR/L"
448,"RN"
449,"PT"
450,"MD"
451,"RN"
452,"MD"
453,"MD"
454,"RRT"
455,"RN"
456,"MD"
457,"MD"
458,"RN"
459,"RD"
460,"RN"
461,"RN"
462,"RPh"
463,"RN"
464,"RN"
465,"RN"
466,"MD"
467,"RD"
468,"UA"
469,"MD"
470,"CoWker"
471,"RRT"
472,"RD"
473,"MD"
474,"RN"
475,"RD"
476,"RRT"
477,"RN"
478,"RN"
479,"PT"
480,"MD"
481,"RPh"
482,"MD"
483,"MD"
484,"CoWker"
485,"MD"
486,"MD"
487,"RRT"
488,"RN"
489,"RN"
490,"MD"
491,"RN"
492,"RN"
493,"MD"
494,"MD"
495,"RN"
496,"UA"
497,"MD"
498,"MD"
499,"RN"
500,"RN"
501,"MD"
502,"MD"
503,"RPh"
504,"BSMT"
505,"RN"
506,"RN"
507,"RN"
508,"MD"
509,"UC"
510,"RN"
511,"RN"
512,"RN"
513,"MD"
514,"RN"
515,"RPh"
516,"MD"
517,"RN"
518,"MD"
519,"MD"
520,"NP"
522,"MD"
523,"MD"
524,"MD"
526,"RN"
527,"MD"
529,"CRT"
530,"RN"
532,"MD"
533,"RN"
535,"RN"
536,"MD"
538,"RN"
539,"RN"
540,"RRT"
542,"RRT"
543,"MD"
545,"RN"
546,"MD"
548,"MD"
549,"RN"
551,"RN"
552,"MD"
553,"CoWker"
555,"RN"
556,"RN"
558,"MD"
559,"MD"
561,"RN"
562,"RPh"
564,"MD"
565,"MD"
567,"MD"
568,"MD"
569,"MD"
571,"MD"
572,"MD"
574,"RPh"
575,"MD"
577,"MD"
578,"RPh"
580,"RN"
581,"RPh"
582,"NP"
584,"MD"
585,"RN"
586,"RN"
588,"RN"
589,"RN"
591,"MD"
592,"MD"
594,"MD"
595,"RPh"
597,"MD"
598,"MD"
600,"RN"
601,"RN"
603,"MD"
604,"MD"
606,"MD"
607,"MD"
609,"MD"
610,"RN"
611,"DI"
613,"MD"
614,"OTR/L"
616,"MD"
617,"MD"
619,"RN"
620,"RN"
622,"RN"
623,"RD"
624,"RN"
626,"RN"
627,"RN"
628,"RN"
630,"MD"
631,"MD"
633,"RD"
634,"RN"
636,"RN"
637,"RN"
639,"RN"
640,"RPh"
642,"CoWker"
643,"RPh"
644,"MD"
646,"MD"
647,"MD"
649,"MD"
650,"RRT"
651,"RRT"
653,"MD"
654,"MD"
656,"MD"
657,"MD"
658,"MD"
659,"RPh"
660,"RRT"
661,"RRT"
662,"RN"
663,"PT"
664,"RRT"
665,"RPh"
666,"MD"
667,"RN"
668,"MD"
669,"MD"
670,"MD"
671,"OTR/L"
672,"RRT"
673,"RPh"
674,"MD"
675,"MD"
676,"MD"
677,"MD"
678,"MD"
679,"RN"
680,"RRT"
681,"MD"
682,"MD"
683,"UC"
684,"MD"
685,"RN"
686,"RPh"
687,"RPh"
688,"MD"
689,"MD"
690,"RN"
691,"MD"
692,"MD"
693,"RN"
694,"MD"
695,"MD"
696,"MD"
697,"RN"
698,"RN"
699,"MD"
700,"MD"
701,"MD"
702,"MD"
703,"MD"
704,"RN"
705,"MD"
706,"RD"
707,"MD"
708,"MD"
709,"MD"
710,"MD"
711,"MD"
712,"RRT"
713,"MD"
714,"MD"
715,"MD"
716,"RPh"
717,"MD"
718,"MS"
719,"MD"
720,"MD"
721,"RN"
722,"MD"
723,"RN"
724,"RPh"
725,"RRT"
726,"UA"
727,"MD"
728,"PT"
729,"MD"
730,"RN"
731,"RRT"
732,"MD"
733,"MD"
734,"MD"
735,"MD"
736,"RN"
737,"PT"
738,"RN"
739,"RN"
741,"MD"
742,"MD"
743,"MD"
745,"RPh"
746,"MD"
748,"MD"
749,"MD"
751,"RN"
752,"RN"
754,"RN"
755,"MD"
757,"MD"
758,"MD"
760,"RN"
761,"RN"
763,"RPh"
764,"RN"
766,"RN"
767,"NP"
768,"RN"
770,"PT"
771,"RPh"
773,"MD"
774,"MD"
775,"RPh"
777,"RRT"
778,"RN"
780,"RRT"
781,"UA"
783,"MD"
784,"MD"
786,"MD"
787,"MD"
788,"RPh"
790,"RN"
791,"RRT"
793,"RN"
794,"RPh"
796,"MD"
797,"RN"
799,"RD"
800,"RD"
801,"RRT"
803,"MD"
804,"RN"
806,"MD"
807,"UA"
809,"MD"
810,"RN"
812,"RN"
813,"MD"
814,"MD"
816,"MD"
817,"RPh"
819,"RN"
820,"MD"
821,"MD"
823,"RRT"
824,"MD"
826,"MD"
827,"MD"
829,"RN"
830,"RN"
832,"md"
833,"rrt"
835,
836,"md"
838,"md"
840,"rrt"
841,"RN"
843,"RN"
844,"MD"
845,"MD"
847,"MD"
848,"RRT"
850,"MD"
851,"MD"
853,"MD"
854,"RN"
856,"MD"
857,"RN"
858,"RN"
860,"MD"
861,"MD"
862,"MD"
864,"UCO"
865,"RN"
867,"RN"
868,"StNurs"
870,"MedStu"
871,"MD"
873,"RN"
874,"RN"
875,"MD"
876,"MedStu"
877,"RN"
878,"MD"
879,"RN"
880,"MD"
881,"RRT"
882,"MD"
883,"MD"
884,"CoWker"
885,"MD"
886,"MD"
887,"RN"
888,"MD"
889,"RN"
890,"MD"
891,"RN"
892,"RN"
893,"RRT"
894,"RRT"
895,"RN"
896,"RN"
897,"RN"
898,"CoWker"
899,"CoWker"
900,"RN"
901,"RN"
902,"MD,PhD"
903,"MD"
904,"MD"
905,"RRT"
906,"RN"
907,"MD"
908,"MD"
909,"RN"
910,"RRT"
911,"MedStu"
912,"MD"
913,"NP"
914,"RN"
915,"CoWker"
916,"RPh"
917,"MD"
918,"RPh"
919,"MD"
920,"MD"
921,"RN"
922,"MD"
923,"RN"
924,"RN"
925,"RN"
926,"RN"
927,"MD"
928,"RN"
929,"MD"
930,"MD"
931,"MD"
932,"NA"
933,"MD"
934,"MD"
935,"MD"
936,"RN"
937,"RN"
938,"CoWkr"
939,"NEOB"
940,"RN"
941,"RPh"
942,"RN"
943,"MD"
944,"UCO"
945,"CoWker"
946,"MD"
947,"PCT"
948,"UA"
949,"UCO"
950,"MD"
951,"MD"
952,"PA"
953,"RN"
954,"RN"
955,"RN"
956,"RN"
958,"RN"
959,"RN"
960,"RN"
962,"RRT"
963,"RRT"
965,"RN"
966,"RN"
968,"NEOB"
969,"RN"
971,"MD"
972,"MD"
974,"MD"
975,"RN"
976,"RN"
978,"RRT"
979,"RN"
981,"MD"
982,"MD"
984,"MD"
985,"PhStud"
987,"PCT"
988,"PA"
989,"MD"
991,"UCO"
992,"MedSt."
994,"RRT"
995,"RN"
997,"RN"
998,"MD"
1000,"Med St"
1001,"PhStud"
1003,"NP"
1004,"PhStud"
1006,"PCT"
1007,"RN"
1009,"MD"
1010,"MD"
1011,"MD"
1013,"RN"
1014,"RN"
1016,"RN"
1017,"RRT"
1019,"RN"
1020,"MD"
1021,"DietIn"
1023,"MD"
1024,"MD"
1025,"RN"
1027,"MD"
1028,"MD"
1029,"DInter"
1031,"RPh"
1032,"DietIn"
1033,"MD"
1035,"UA"
1036,"MD"
1038,"Med ST"
1039,"RRT"
1041,"MD"
1042,"PCT"
1044,"RN"
1045,"MD"
1046,"RPh"
1048,"RRT"
1049,"MD"
1051,"UA"
1052,"RN"
1054,"RPh"
1055,"MD,PhD"
1056,"MD"
1058,"RN"
1059,"RN"
1061,"PA"
1062,"MD"
1064,"RN"
1065,"Co-Wk"
1067,"MD"
1068,"RN"
1070,"RN"
1071,"UCO"
1072,"MD"
1074,"MD"
1075,"RN"
1077,"RRT"
1078,"MD"
1080,"MD"
1081,"MD"
1083,"RN"
1084,"RN"
1086,"RN"
1087,"RN"
1088,"RD"
-1,
1,
2,"AR"
3,"MD"
4,"RN"
5,"MD"
6,"MD"
7,"MD"
8,
9,"MD"
10,"MD"
11,"MD"
12,"MD"
13,"MD"
14,"MD"
15,"MD"
16,"MD"
17,"MD"
18,"RRT"
19,"RN"
20,"MD"
21,"CRT"
22,"RN"
23,"RRT"
24,"OTR/L"
25,"MD"
26,"RN"
27,"MD"
28,"MD"
29,"RPh"
30,"LICSW"
31,"MD"
32,"LICSW"
33,"MD"
34,"UCO"
35,"MD"
36,"MD"
37,"MD"
38,"RN"
39,"RN"
40,"RN"
41,"RN"
42,"RN"
43,"RN"
44,"MD"
45,"MD"
46,"RPh"
47,"MD"
48,"RPh"
49,"MD"
50,"MD"
51,"MD"
52,"MD"
53,"MD"
54,"MD"
55,"MD"
56,"MD"
57,"MD"
58,"RPh"
59,"MD"
60,"RN"
61,"RN"
62,"RN"
63,"RN"
64,"RN"
65,"RN"
66,"RN"
67,"MD"
68,"MD"
69,"RRT"
70,"MD"
71,"RN"
72,"MD"
73,"RRT"
74,"MD"
75,"RRT"
76,"RPh"
77,"PT"
78,"MD"
79,"RN"
80,"MD"
82,"RRT"
83,"RN"
85,"MD"
86,"MD"
88,"DI"
89,"MD"
91,"MD"
92,"MD"
94,"MD"
95,"RN"
97,"RN"
98,"RN"
100,"RN"
101,"MD"
102,"RRT"
104,"RN"
105,"RN"
107,"RN"
108,"RN"
110,"RPh"
111,"MD"
113,"RD"
114,"RRT"
116,"RPh"
117,"RN"
118,"RN"
120,"MD"
121,"RPh"
123,"RN"
124,"MD"
125,"MD"
127,"MD"
128,"MD"
130,"RPh"
131,"MD"
132,"MD"
134,"UA"
135,"RN"
136,"MD"
138,"RN"
139,"MD"
141,"MD"
142,"RN"
144,"MD"
145,"MD"
147,"RRT"
148,"RN"
150,"MD"
151,"MD"
153,"CoWork"
154,"MD"
155,"MD"
157,"MD"
158,"MD"
160,"MD"
161,"RPh"
163,"MD"
164,"MD"
166,"MD"
167,"MD"
169,"MD"
170,"MD"
172,"MD"
173,"MD"
174,"MD"
176,"MD"
177,"MD"
179,"MD"
180,"DI"
182,"MD"
183,"RN"
184,"RN"
186,"PT"
187,"RN"
189,"RN"
190,"MD"
192,"MD"
193,"RN"
195,
196,"MD"
198,"MD"
199,"RN"
201,"MD"
202,"MD"
203,"MD"
205,"MD"
206,"RN"
208,"RN"
209,"RN"
211,"RPh"
212,"RN"
214,"RRT"
215,"RRT"
217,"RN"
218,"RN"
219,"RN"
220,"RN"
1949,"RRT"
1950,"RTS"
1951,"RN"
1952,"RN"
1953,"PT"
1954,"MD"
1955,"DI"
1956,"LICSW"
1957,"MD"
1958,"RN"
1959,"RPh"
1960,"MD"
1961,"CRT"
1962,"MD"
1963,"MD"
1964,"OTR/L"
1965,"MD"
1966,"RN"
1967,"MD"
1968,"MD"
1969,"MD"
1970,"OTR/L"
1971,"RN"
1972,"PT"
1973,"MD"
1974,"RN"
1975,"MD"
1976,"MD"
1977,"RRT"
1978,"RN"
1979,"MD"
1980,"MD"
1981,"RN"
1982,"RD"
1983,"RN"
1984,"RN"
1985,"RPh"
1986,"RN"
1987,"RN"
1988,"RN"
1989,"MD"
1990,"RD"
1991,"UA"
1992,"MD"
1993,"CoWker"
1994,"RRT"
1995,"RD"
1996,"MD"
1997,"RN"
1998,"RD"
1999,"RRT"
2000,"RN"
2001,"RN"
2002,"PT"
2003,"MD"
2004,"RPh"
2005,"MD"
2006,"MD"
2007,"CoWker"
2008,"MD"
2009,"MD"
2010,"RRT"
2011,"RN"
2012,"RN"
2013,"MD"
2014,"RN"
2015,"RN"
2016,"MD"
2017,"MD"
2018,"RN"
2019,"UA"
2020,"MD"
2021,"MD"
2022,"RN"
2023,"RN"
2024,"MD"
2025,"MD"
2026,"RPh"
2027,"BSMT"
2028,"RN"
2029,"RN"
2030,"RN"
2032,"UC"
2033,"RN"
2035,"RN"
2036,"MD"
2037,"RN"
2039,"MD"
2040,"RN"
2042,"MD"
2043,"NP"
2044,"MD"
2046,"MD"
2047,"MD"
2049,"RN"
2050,"MD"
2052,"CRT"
2053,"RN"
2055,"MD"
2056,"RN"
2058,"RN"
2059,"MD"
2061,"RN"
2062,"RN"
2063,"RRT"
2065,"RRT"
2066,"MD"
2067,"MD"
2069,"MD"
2070,"RT"
2072,"RN"
2073,"MD"
2075,"MD"
2076,"CoWker"
2077,"MD"
2079,"RN"
2080,"MD"
2082,"MD"
2083,"DI"
2085,"RPh"
2086,"RN"
2087,"MD"
2089,"RPh"
2090,"MD"
2092,"MD"
2093,"MD"
2095,"MD"
2096,"MD"
2098,"MD"
2099,"MD"
2100,"MD"
2102,"RN"
2103,"RN"
2105,"NP"
2106,"CoWork"
2107,"MD"
2108,"RN"
2110,"MD"
2111,"RN"
2113,"MD"
2114,"MD"
2116,"MD"
2117,"MD"
2119,"MD"
2120,"MD"
2122,"RRT"
2123,"RN"
2125,"UC"
2126,"MD"
2128,"MD"
2129,"MD"
2131,"MD"
2132,"MD"
2134,"DI"
2135,"RD"
2137,"OTR/L"
2138,"RN"
2140,"MD"
2141,"MD"
2143,"RN"
2144,"MD"
2145,"RN"
2147,"RN"
2149,"RN"
2150,"RN"
2151,"RN"
2153,"MD"
2154,"MD"
2155,"MD"
2157,"RN"
2158,"MD"
2160,"RN"
2161,"RRT"
2162,"RN"
2163,"RPh"
2164,"MD"
2165,"CoWker"
2166,"RPh"
2167,"MD"
2168,"RPh"
2169,"MD"
2170,"MD"
2171,
2172,"MD"
2173,"RRT"
2174,"RRT"
2175,"MD"
2176,"MD"
2177,"MD"
2178,"MD"
2179,"MD"
2180,"MD"
2181,"MD"
2182,"RPh"
2183,"RRT"
2184,"RRT"
2185,"RN"
2186,"PT"
2187,"RRT"
2188,"RPh"
2189,"MD"
2190,"RN"
2191,"MD"
2192,"MD"
2193,"MD"
2194,"OTR/L"
2195,"RRT"
2196,"RPh"
2197,"MD"
2198,"MD"
2199,"MD"
2200,"MD"
2201,"MD"
2202,"RN"
2203,"RRT"
2204,"MD"
2205,"MD"
2206,"UC"
2207,"MD"
2208,"RN"
2209,"RPh"
2210,"RPh"
2211,"MD"
2212,"MD"
2213,"RN"
2214,"MD"
2215,"MD"
2216,"RN"
2217,"MD"
2218,"MD"
2219,"MD"
2220,"RN"
2221,"RN"
2222,"MD"
2223,"MD"
2224,"MD"
2225,"MD"
2226,"MD"
2227,"RN"
2228,"MD"
2229,"RD"
2230,"MD"
2231,"MD"
2232,"MD"
2233,"MD"
2234,"MD"
2235,"RRT"
2236,"MD"
2237,"MD"
2238,"MD"
2239,"RPh"
2240,"MD"
2241,"MS"
2242,"MD"
2243,"MD"
2244,"RN"
2246,"RN"
2247,"RPh"
2249,"UA"
2250,"MD"
2251,"PT"
2253,"RN"
2254,"RRT"
2256,"MD"
2257,"MD"
2259,"RN"
2260,"PT"
2261,"RN"
2263,"MD"
2264,"MD"
2266,"MD"
2267,"MD"
2269,"MD"
2270,"MD"
2272,"MD"
2273,"MD"
2274,"RN"
2276,"RN"
2277,"RN"
2279,"MD"
2280,"MD"
2282,"MD"
2283,"RN"
2285,"RN"
2286,"RPh"
2288,"RD"
2289,"RN"
2290,"NP"
2292,"RN"
2293,"PT"
2294,"RPh"
2296,"MD"
2297,"MD"
2299,"RN"
2300,"RRT"
2302,"MD"
2303,"RRT"
2305,"MD"
2306,"MD"
2308,"RRT"
2309,"MD"
2310,"MD"
2312,"RRT"
2314,"RRT"
2315,"RRT"
2316,"RN"
2318,"RPh"
2319,"MD"
2321,"RN"
2322,"RD"
2324,"RRT"
2325,"MD"
2327,"RN"
2328,"RN"
2330,"UA"
2331,"MD"
2333,"RN"
2334,"MD"
2335,"RN"
2337,"MD"
2338,"RPh"
2340,"RPh"
2341,"RTS"
2343,"MD"
2344,"MD"
2346,"RRT"
2347,"MD"
2349,"MD"
2350,"MD"
2352,"RN"
