ITEMID,CODE,TYPE,CATEGORY,LABEL,DESCRIPTION
101388,"8084 ","PROCEDURE",,,"DESTRUC-HAND JT LES NEC  "
101389,"8085 ","PROCEDURE",,,"DESTRUCT-HIP LESION NEC  "
101390,"8086 ","PROCEDURE",,,"DESTRUCT-KNEE LESION NEC "
101391,"8087 ","PROCEDURE",,,"DESTRUC-ANKLE LESION NEC "
101392,"8088 ","PROCEDURE",,,"DESTRUC-FOOT JT LES NEC  "
101393,"8089 ","PROCEDURE",,,"DESTRUCT JOINT LES NEC   "
101394,"8096 ","PROCEDURE",,,"EXCISION OF KNEE NEC     "
101395,"8098 ","PROCEDURE",,,"EXCISION FOOT JOINT NEC  "
101396,"8099 ","PROCEDURE",,,"EXCISION OF JOINT NEC    "
101397,"8101 ","PROCEDURE",,,"ATLAS-AXIS FUSION        "
101398,"8102 ","PROCEDURE",,,"OTHER CERVICAL FUSION    "
101399,"8103 ","PROCEDURE",,,"DORSAL SPINAL FUSION     "
101400,"8104 ","PROCEDURE",,,"DORSOLUMBAR FUSION W ROD "
101401,"8105 ","PROCEDURE",,,"OTHER DORSOLUMBAR FUSION "
101402,"8106 ","PROCEDURE",,,"LUMBAR SPINAL FUSION     "
101403,"8107 ","PROCEDURE",,,"LUMBOSACRAL FUSION       "
101404,"8108 ","PROCEDURE",,,"LUMBAR/LUMBOS FUSE POSTR "
101405,"8111 ","PROCEDURE",,,"ANKLE FUSION             "
101406,"8112 ","PROCEDURE",,,"TRIPLE ARTHRODESIS       "
101407,"8113 ","PROCEDURE",,,"SUBTALAR FUSION          "
101408,"8114 ","PROCEDURE",,,"MIDTARSAL FUSION         "
101409,"8115 ","PROCEDURE",,,"TARSOMETATARSAL FUSION   "
101410,"8116 ","PROCEDURE",,,"METATARSOPHALANGEAL FUS  "
101411,"8117 ","PROCEDURE",,,"OTHER FUSION OF FOOT     "
101412,"8122 ","PROCEDURE",,,"ARTHRODESIS OF KNEE      "
101413,"8125 ","PROCEDURE",,,"CARPORADIAL FUSION       "
101414,"8128 ","PROCEDURE",,,"INTERPHALANGEAL FUSION   "
101415,"8132 ","PROCEDURE",,,"REFUSION OTH CERV SPINE  "
101416,"8133 ","PROCEDURE",,,"REFUSION OTH CERV SPINE  "
101417,"8134 ","PROCEDURE",,,"REFUSION DORSAL DORSOLUM "
101418,"8135 ","PROCEDURE",,,"REFUSION DORSAL DORSOLUM "
101419,"8138 ","PROCEDURE",,,"REFUSION LUMBAR LUMBOSAC "
101420,"8140 ","PROCEDURE",,,"REPAIR OF HIP, NEC       "
101421,"8144 ","PROCEDURE",,,"PATELLAR STABILIZATION   "
101422,"8145 ","PROCEDURE",,,"CRUCIATE LIG REPAIR NEC  "
101423,"8146 ","PROCEDURE",,,"COLLATERL LIG REPAIR NEC "
101424,"8147 ","PROCEDURE",,,"OTHER REPAIR OF KNEE     "
101425,"8151 ","PROCEDURE",,,"TOT HIP REPLACE-METHACRY "
101426,"8152 ","PROCEDURE",,,"PARTIAL HIP REPLACEMENT  "
101427,"8153 ","PROCEDURE",,,"REVISION HIP REPLACEMENT "
101428,"8154 ","PROCEDURE",,,"TOTAL KNEE REPLACEMENT   "
101429,"8155 ","PROCEDURE",,,"REVISION KNEE REPLACEMEN "
101430,"8157 ","PROCEDURE",,,"REPLACEMENT  FOOT JOINT  "
101431,"8161 ","PROCEDURE",,,"360 DEGREE SPINAL FUSION "
101432,"8162 ","PROCEDURE",,,"FUSION OR REFUSION OF 2- "
101433,"8163 ","PROCEDURE",,,"FUSION OR REFUSION OF 4- "
101434,"8164 ","PROCEDURE",,,"FUSION OR REFUSION OF 9  "
101435,"8165 ","PROCEDURE",,,"PERCUTANEOUS VERTEBROPLA "
101436,"8166 ","PROCEDURE",,,"PERCUTANEOUS VERTEBRAL A "
101437,"8172 ","PROCEDURE",,,"ARTHOPLASTY MPJ IPJ W/O  "
101438,"8174 ","PROCEDURE",,,"ARTHRPLSTY W/IMPL CARPOC "
101439,"8175 ","PROCEDURE",,,"ARTHPLSTY CARPOCARPAL/CA "
101440,"8179 ","PROCEDURE",,,"HAND ARTHROPLASTY NEC    "
101441,"8180 ","PROCEDURE",,,"TOTAL SHOULDER REPLACEME "
101442,"8181 ","PROCEDURE",,,"SHOULDER ARTHROPL-PROSTH "
101443,"8182 ","PROCEDURE",,,"REP RECUR SHLDER DISLOC  "
101444,"8183 ","PROCEDURE",,,"SHOULDER ARTHROPLAST NEC "
101445,"8185 ","PROCEDURE",,,"ELBOW ARTHROPLASTY NEC   "
101446,"8191 ","PROCEDURE",,,"ARTHROCENTESIS           "
101447,"8192 ","PROCEDURE",,,"INJECTION INTO JOINT     "
101448,"8193 ","PROCEDURE",,,"SUTUR CAPSUL/LIGAMEN ARM "
101449,"8195 ","PROCEDURE",,,"SUTUR CAPSUL/LIG LEG NEC "
101450,"8197 ","PROCEDURE",,,"REV JT REPLACE UPPR EX   "
101451,"8201 ","PROCEDURE",,,"EXPLOR TEND SHEATH-HAND  "
101452,"8209 ","PROCEDURE",,,"INC SOFT TISSUE HAND NEC "
101453,"8211 ","PROCEDURE",,,"TENOTOMY OF HAND         "
101454,"8212 ","PROCEDURE",,,"FASCIOTOMY OF HAND       "
101455,"8221 ","PROCEDURE",,,"EXC LES TEND SHEATH HAND "
101456,"8222 ","PROCEDURE",,,"EXCISION HAND MUSCLE LES "
101457,"8229 ","PROCEDURE",,,"EXC LES SFT TISS HND NEC "
101458,"8233 ","PROCEDURE",,,"HAND TENONECTOMY NEC     "
101459,"8236 ","PROCEDURE",,,"OTHER MYECTOMY OF HAND   "
101460,"8241 ","PROCEDURE",,,"SUTURE TENDN SHEATH HAND "
101461,"8244 ","PROCEDURE",,,"SUTUR FLEX TEND HAND NEC "
101462,"8245 ","PROCEDURE",,,"SUTURE HAND TENDON NEC   "
101463,"8246 ","PROCEDURE",,,"SUTURE HAND MUSCLE/FASC  "
60993,"920 ","HFCA_DRG",,,"COMPLICATIONS OF TREATMENT W CC         "
60994,"921 ","HFCA_DRG",,,"COMPLICATIONS OF TREATMENT W/O CC/MCC   "
60995,"922 ","HFCA_DRG",,,"OTHER INJURY, POISONING & TOXIC EFFECT D"
60996,"923 ","HFCA_DRG",,,"OTHER INJURY, POISONING & TOXIC EFFECT D"
60997,"939 ","HFCA_DRG",,,"O.R. PROC W DIAGNOSES OF OTHER CONTACT W"
60998,"948 ","HFCA_DRG",,,"SIGNS & SYMPTOMS W/O MCC                "
60999,"949 ","HFCA_DRG",,,"AFTERCARE W CC/MCC                      "
61000,"955 ","HFCA_DRG",,,"CRANIOTOMY FOR MULTIPLE SIGNIFICANT TRAU"
61001,"956 ","HFCA_DRG",,,"LIMB REATTACHMENT, HIP & FEMUR PROC FOR "
61002,"957 ","HFCA_DRG",,,"OTHER O.R. PROCEDURES FOR MULTIPLE SIGNI"
61003,"958 ","HFCA_DRG",,,"OTHER O.R. PROCEDURES FOR MULTIPLE SIGNI"
61004,"959 ","HFCA_DRG",,,"OTHER O.R. PROCEDURES FOR MULTIPLE SIGNI"
61005,"963 ","HFCA_DRG",,,"OTHER MULTIPLE SIGNIFICANT TRAUMA W MCC "
61006,"964 ","HFCA_DRG",,,"OTHER MULTIPLE SIGNIFICANT TRAUMA W CC  "
61007,"965 ","HFCA_DRG",,,"OTHER MULTIPLE SIGNIFICANT TRAUMA W/O CC"
61008,"969 ","HFCA_DRG",,,"HIV W EXTENSIVE O.R. PROCEDURE W MCC    "
61009,"974 ","HFCA_DRG",,,"HIV W MAJOR RELATED CONDITION W MCC     "
61010,"975 ","HFCA_DRG",,,"HIV W MAJOR RELATED CONDITION W CC      "
61011,"976 ","HFCA_DRG",,,"HIV W MAJOR RELATED CONDITION W/O CC/MCC"
61012,"977 ","HFCA_DRG",,,"HIV W OR W/O OTHER RELATED CONDITION    "
61013,"981 ","HFCA_DRG",,,"EXTENSIVE O.R. PROCEDURE UNRELATED TO PR"
61014,"982 ","HFCA_DRG",,,"EXTENSIVE O.R. PROCEDURE UNRELATED TO PR"
61015,"983 ","HFCA_DRG",,,"EXTENSIVE O.R. PROCEDURE UNRELATED TO PR"
61016,"987 ","HFCA_DRG",,,"NON-EXTENSIVE O.R. PROC UNRELATED TO PRI"
61017,"988 ","HFCA_DRG",,,"NON-EXTENSIVE O.R. PROC UNRELATED TO PRI"
61018,"989 ","HFCA_DRG",,,"NON-EXTENSIVE O.R. PROC UNRELATED TO PRI"
70001,,"MICROBIOLOGY","SPECIMEN",,
70002,"TS","MICROBIOLOGY","SPECIMEN","THROAT FOR STREP",
70003,"ABW","MICROBIOLOGY","SPECIMEN","ABSCESS",
70004,"ART","MICROBIOLOGY","SPECIMEN","ARTHROPOD",
70005,"ASW","MICROBIOLOGY","SPECIMEN","ASPIRATE",
70006,"AVG","MICROBIOLOGY","SPECIMEN","ANORECTAL/VAGINAL CULTURE",
70007,"BBF","MICROBIOLOGY","SPECIMEN","BLOOD BAG FLUID",
70008,"BBP","MICROBIOLOGY","SPECIMEN","BRONCHIAL BRUSH - PROTECTED",
70009,"BIF","MICROBIOLOGY","SPECIMEN","BILE",
70010,"BIO","MICROBIOLOGY","SPECIMEN","BIOPSY",
70011,"BIS","MICROBIOLOGY","SPECIMEN","BLOOD CULTURE ( MYCO/F LYTIC BOTTLE)",
70012,"BLC","MICROBIOLOGY","SPECIMEN","BLOOD CULTURE",
70013,"BLF","MICROBIOLOGY","SPECIMEN","FLUID RECEIVED IN BLOOD CULTURE BOTTLES",
70014,"BLN","MICROBIOLOGY","SPECIMEN","BLOOD CULTURE - NEONATE",
70015,"BLO","MICROBIOLOGY","SPECIMEN","BLOOD",
70016,"BLP","MICROBIOLOGY","SPECIMEN","BLOOD CULTURE (POST-MORTEM)",
70017,"BLS","MICROBIOLOGY","SPECIMEN","SEROLOGY/BLOOD",
70018,"BMA","MICROBIOLOGY","SPECIMEN","BONE MARROW",
70019,"BMC","MICROBIOLOGY","SPECIMEN","BONE MARROW - CYTOGENETICS",
70020,"BRB","MICROBIOLOGY","SPECIMEN","BRONCHIAL BRUSH",
70021,"BRL","MICROBIOLOGY","SPECIMEN","BRONCHOALVEOLAR LAVAGE",
70022,"BRW","MICROBIOLOGY","SPECIMEN","BRONCHIAL WASHINGS",
70023,"CAW","MICROBIOLOGY","SPECIMEN","CATHETER TIP-IV",
70024,"CMV","MICROBIOLOGY","SPECIMEN","VIRAL CULTURE: R/O CYTOMEGALOVIRUS",
70025,"CRE","MICROBIOLOGY","SPECIMEN","CRE Screen",
70026,"CSF","MICROBIOLOGY","SPECIMEN","CSF;SPINAL FLUID",
70027,"CSW","MICROBIOLOGY","SPECIMEN","CORNEAL EYE SCRAPINGS",
70028,"DHS","MICROBIOLOGY","SPECIMEN","Direct Antigen Test for Herpes Simplex Virus Types 1 & 2",
70029,"DIF","MICROBIOLOGY","SPECIMEN","DIALYSIS FLUID",
70030,"DVZ","MICROBIOLOGY","SPECIMEN","DIRECT ANTIGEN TEST FOR VARICELLA-ZOSTER VIRUS",
70031,"EAR","MICROBIOLOGY","SPECIMEN","EAR",
70032,"EBV","MICROBIOLOGY","SPECIMEN","Blood (EBV)",
70033,"EYR","MICROBIOLOGY","SPECIMEN","EYE",
70034,"FBO","MICROBIOLOGY","SPECIMEN","FOREIGN BODY",
70035,"FCY","MICROBIOLOGY","SPECIMEN","FLUID,OTHER",
70036,"FLW","MICROBIOLOGY","SPECIMEN","FLUID WOUND",
70037,"FOW","MICROBIOLOGY","SPECIMEN","FOOT CULTURE",
70038,"FSN","MICROBIOLOGY","SPECIMEN","FECAL SWAB",
70039,"GAS","MICROBIOLOGY","SPECIMEN","GASTRIC ASPIRATE",
70040,"GCP","MICROBIOLOGY","SPECIMEN","SWAB",
70041,"HSV","MICROBIOLOGY","SPECIMEN","VIRAL CULTURE:R/O HERPES SIMPLEX VIRUS",
70042,"IAB","MICROBIOLOGY","SPECIMEN","Influenza A/B by DFA",
70043,"IBL","MICROBIOLOGY","SPECIMEN","Influenza A/B by DFA - Bronch Lavage",
70044,"IBW","MICROBIOLOGY","SPECIMEN","Influenza A/B by DFA - Bronch Wash",
70045,"IMC","MICROBIOLOGY","SPECIMEN","Immunology (CMV)",
70046,"IMM","MICROBIOLOGY","SPECIMEN","IMMUNOLOGY",
70047,"JOF","MICROBIOLOGY","SPECIMEN","JOINT FLUID",
70048,"NAI","MICROBIOLOGY","SPECIMEN","NAIL SCRAPINGS",
70049,"NBL","MICROBIOLOGY","SPECIMEN","NEOPLASTIC BLOOD",
70050,"NOR","MICROBIOLOGY","SPECIMEN","NOSE",
70051,"OFF","MICROBIOLOGY","SPECIMEN","FLUID,OTHER",
70052,"PBL","MICROBIOLOGY","SPECIMEN","PERIPHERAL BLOOD LYMPHOCYTES",
70053,"PEF","MICROBIOLOGY","SPECIMEN","PERITONEAL FLUID",
70054,"PLF","MICROBIOLOGY","SPECIMEN","PLEURAL FLUID",
70055,"PMC","MICROBIOLOGY","SPECIMEN","POSTMORTEM CULTURE",
70056,"RGC","MICROBIOLOGY","SPECIMEN","RECTAL - R/O GC",
70057,"RRV","MICROBIOLOGY","SPECIMEN","Rapid Respiratory Viral Screen & Culture",
70058,"RVA","MICROBIOLOGY","SPECIMEN","RAPID RESPIRATORY VIRAL ANTIGEN TEST",
70059,"SAS","MICROBIOLOGY","SPECIMEN","Staph aureus Screen",
70060,"SCB","MICROBIOLOGY","SPECIMEN","Stem Cell - Blood Culture",
70061,"SKI","MICROBIOLOGY","SPECIMEN","SKIN SCRAPINGS",
70062,"SPR","MICROBIOLOGY","SPECIMEN","SPUTUM",
70063,"STC","MICROBIOLOGY","SPECIMEN","STERILITY CULTURE",
70064,"STO","MICROBIOLOGY","SPECIMEN","STOOL",
70065,"STP","MICROBIOLOGY","SPECIMEN","SCOTCH TAPE PREP/PADDLE",
70066,"STS","MICROBIOLOGY","SPECIMEN","STOOL (RECEIVED IN TRANSPORT SYSTEM)",
70067,"SWF","MICROBIOLOGY","SPECIMEN","SWAB",
70068,"SWG","MICROBIOLOGY","SPECIMEN","SWAB",
70069,"SWR","MICROBIOLOGY","SPECIMEN","SWAB",
70070,"SWW","MICROBIOLOGY","SPECIMEN","SWAB",
70071,"SYE","MICROBIOLOGY","SPECIMEN","SWAB - R/O YEAST",
70072,"TAS","MICROBIOLOGY","SPECIMEN","TRACHEAL ASPIRATE",
70073,"TCY","MICROBIOLOGY","SPECIMEN","TISSUE",
70074,"TGC","MICROBIOLOGY","SPECIMEN","THROAT",
70075,"THR","MICROBIOLOGY","SPECIMEN","THROAT CULTURE",
70076,"TIS","MICROBIOLOGY","SPECIMEN","TISSUE",
70077,"UPC","MICROBIOLOGY","SPECIMEN","URINE",
70078,"UPR","MICROBIOLOGY","SPECIMEN","URINE,PROSTATIC MASSAGE",
70079,"URI","MICROBIOLOGY","SPECIMEN","URINE",
70080,"URK","MICROBIOLOGY","SPECIMEN","URINE,KIDNEY",
70081,"URS","MICROBIOLOGY","SPECIMEN","URINE",
70082,"USU","MICROBIOLOGY","SPECIMEN","URINE,SUPRAPUBIC ASPIRATE",
70083,"VZC","MICROBIOLOGY","SPECIMEN","VARICELLA-ZOSTER CULTURE",
70084,"WOG","MICROBIOLOGY","SPECIMEN","SWAB",
70085,"WOR","MICROBIOLOGY","SPECIMEN","WORM",
70086,"XXX","MICROBIOLOGY","SPECIMEN","XXX",
70087,"CMVP","MICROBIOLOGY","SPECIMEN","Blood (CMV AB)",
70088,"EBVP","MICROBIOLOGY","SPECIMEN","Blood (EBV)",
70089,"MALA","MICROBIOLOGY","SPECIMEN","Blood (Malaria)",
70090,"MBAL","MICROBIOLOGY","SPECIMEN","Mini-BAL",
70091,"MRSA","MICROBIOLOGY","SPECIMEN","MRSA SCREEN",
70092,"ROGC","MICROBIOLOGY","SPECIMEN","SWAB, R/O GC",
70093,"TOXOP","MICROBIOLOGY","SPECIMEN","Blood (Toxo)",
101464,"8251 ","PROCEDURE",,,"HAND TENDON ADVANCEMENT  "
101465,"8256 ","PROCEDURE",,,"TRANSPLANT HAND TEND NEC "
101466,"8257 ","PROCEDURE",,,"TRANSPOSIT HAND TEND NEC "
101467,"8269 ","PROCEDURE",,,"THUMB RECONSTRUCTION NEC "
101468,"8272 ","PROCEDURE",,,"PLAST OP HND-MUS/FAS GRF "
101469,"8279 ","PROCEDURE",,,"PLAST OP HAND W GRFT NEC "
101470,"8281 ","PROCEDURE",,,"TRANSFER OF FINGER       "
101471,"8286 ","PROCEDURE",,,"OTHER TENOPLASTY OF HAND "
101472,"8289 ","PROCEDURE",,,"HAND PLASTIC OP NEC      "
101473,"8301 ","PROCEDURE",,,"TENDON SHEATH EXPLORAT   "
101474,"8302 ","PROCEDURE",,,"MYOTOMY                  "
101475,"8303 ","PROCEDURE",,,"BURSOTOMY                "
101476,"8309 ","PROCEDURE",,,"SOFT TISSUE INCISION NEC "
101477,"8313 ","PROCEDURE",,,"OTHER TENOTOMY           "
101478,"8314 ","PROCEDURE",,,"FASCIOTOMY               "
101479,"8319 ","PROCEDURE",,,"SOFT TISSUE DIVISION NEC "
101480,"8321 ","PROCEDURE",,,"SOFT TISSUE BIOPSY       "
101481,"8331 ","PROCEDURE",,,"EXCIS LES TENDON SHEATH  "
101482,"8332 ","PROCEDURE",,,"EXCIS LESION OF MUSCLE   "
101483,"8339 ","PROCEDURE",,,"EXC LES SOFT TISSUE NEC  "
101484,"8342 ","PROCEDURE",,,"OTHER TENONECTOMY        "
101485,"8343 ","PROCEDURE",,,"MUSC/FASC EXCIS FOR GRFT "
101486,"8344 ","PROCEDURE",,,"OTHER FASCIECTOMY        "
101487,"8345 ","PROCEDURE",,,"OTHER MYECTOMY           "
101488,"8349 ","PROCEDURE",,,"OTHER SOFT TISSUE EXCIS  "
101489,"835  ","PROCEDURE",,,"BURSECTOMY               "
101490,"8361 ","PROCEDURE",,,"TENDON SHEATH SUTURE     "
101491,"8363 ","PROCEDURE",,,"ROTATOR CUFF REPAIR      "
101492,"8364 ","PROCEDURE",,,"OTHER SUTURE OF TENDON   "
101493,"8365 ","PROCEDURE",,,"OTHER MUSCLE/FASC SUTURE "
101494,"8375 ","PROCEDURE",,,"TENDON TRNSFR/TRANSPLANT "
101495,"8377 ","PROCEDURE",,,"MUSCLE TRNSFR/TRANSPLANT "
101496,"8379 ","PROCEDURE",,,"OTHER MUSCLE TRANSPOSIT  "
101497,"8382 ","PROCEDURE",,,"MUSCLE OR FASCIA GRAFT   "
101498,"8385 ","PROCEDURE",,,"MUSC/TEND LNG CHANGE NEC "
101499,"8386 ","PROCEDURE",,,"QUADRICEPSPLASTY         "
101500,"8387 ","PROCEDURE",,,"OTHER PLASTIC OPS MUSCLE "
101501,"8388 ","PROCEDURE",,,"OTHER PLASTIC OPS TENDON "
101502,"8394 ","PROCEDURE",,,"ASPIRATION OF BURSA      "
101503,"8395 ","PROCEDURE",,,"SOFT TISSUE ASPIRAT NEC  "
101504,"8401 ","PROCEDURE",,,"FINGER AMPUTATION        "
101505,"8402 ","PROCEDURE",,,"THUMB AMPUTATION         "
101506,"8403 ","PROCEDURE",,,"AMPUTATION THROUGH HAND  "
101507,"8404 ","PROCEDURE",,,"DISARTICULATION OF WRIST "
101508,"8407 ","PROCEDURE",,,"AMPUTATION THRU HUMERUS  "
101509,"8408 ","PROCEDURE",,,"SHOULDER DISARTICULATION "
101510,"8411 ","PROCEDURE",,,"TOE AMPUTATION           "
101511,"8412 ","PROCEDURE",,,"AMPUTATION THROUGH FOOT  "
101512,"8413 ","PROCEDURE",,,"DISARTICULATION OF ANKLE "
101513,"8414 ","PROCEDURE",,,"AMPUTAT THROUGH MALLEOLI "
101514,"8415 ","PROCEDURE",,,"BELOW KNEE AMPUTAT NEC   "
101515,"8417 ","PROCEDURE",,,"ABOVE KNEE AMPUTATION    "
101516,"8418 ","PROCEDURE",,,"DISARTICULATION OF HIP   "
101517,"8419 ","PROCEDURE",,,"HINDQUARTER AMPUTATION   "
101518,"8421 ","PROCEDURE",,,"THUMB REATTACHMENT       "
101519,"8422 ","PROCEDURE",,,"FINGER REATTACHMENT      "
101520,"8423 ","PROCEDURE",,,"FOREARM/WRIST/HAND REATT "
101521,"843  ","PROCEDURE",,,"AMPUTATION STUMP REVIS   "
101522,"8448 ","PROCEDURE",,,"IMPLANT LEG PROSTHESIS   "
101523,"8451 ","PROCEDURE",,,"INSERT INTERBODY SPINAL  "
101524,"8452 ","PROCEDURE",,,"INSERT RECOMBINANT BONE  "
101525,"8455 ","PROCEDURE",,,"INSERT BONE VOID FILLER  "
101526,"8456 ","PROCEDURE",,,"INSERTION OR REPLACEMENT "
101527,"8457 ","PROCEDURE",,,"REMOVE (CEMENT) SPACER   "
101528,"8459 ","PROCEDURE",,,"INSERT OTH SPINAL DEVICE "
101529,"8471 ","PROCEDURE",,,"APPLICATION OF EXTERNAL  "
101530,"8472 ","PROCEDURE",,,"APPLICATION OF EXTERNAL  "
101531,"850  ","PROCEDURE",,,"MASTOTOMY                "
101532,"8511 ","PROCEDURE",,,"BREAST BIOPSY - CLOSED   "
101533,"8521 ","PROCEDURE",,,"LOCAL EXCIS BREAST LES   "
101534,"8525 ","PROCEDURE",,,"EXCISION OF NIPPLE       "
101535,"8531 ","PROCEDURE",,,"UNILAT REDUCT MAMMOPLAST "
101536,"8532 ","PROCEDURE",,,"BILAT REDUCT MAMMOPLASTY "
101537,"8534 ","PROCEDURE",,,"UNILAT SUBQ MAMMECT NEC  "
101538,"8536 ","PROCEDURE",,,"BILAT SUBQ MAMMECTOM NEC "
101539,"8541 ","PROCEDURE",,,"UNILAT SIMPLE MASTECTOMY "
101540,"8542 ","PROCEDURE",,,"BILAT SIMPLE MASTECTOMY  "
101541,"8543 ","PROCEDURE",,,"UNILAT EXTEN SIMP MASTEC "
101542,"8544 ","PROCEDURE",,,"BILAT EXTEND SIMP MASTEC "
101543,"8545 ","PROCEDURE",,,"UNILAT RADICAL MASTECTOM "
101544,"8547 ","PROCEDURE",,,"UNIL EXT RAD MASTECTOMY  "
101545,"8548 ","PROCEDURE",,,"BIL EXTEN RAD MASTECTOMY "
101546,"8553 ","PROCEDURE",,,"UNILAT BREAST IMPLANT    "
101547,"8554 ","PROCEDURE",,,"BILATERAL BREAST IMPLANT "
101548,"856  ","PROCEDURE",,,"MASTOPEXY                "
101549,"857  ","PROCEDURE",,,"TOTAL BREAST RECONSTRUCT "
101550,"8571 ","PROCEDURE",,,"LATISSIMUS DORSI MYOCUTA "
101551,"8573 ","PROCEDURE",,,"TRANSVERSE RECTUS ABDOMI "
101552,"8574 ","PROCEDURE",,,"DEEP INFERIOR EPIGASTRIC "
101553,"8581 ","PROCEDURE",,,"SUTURE BREAST LACERATION "
101554,"8582 ","PROCEDURE",,,"BREAST SPLIT-THICK GRAFT "
101555,"8584 ","PROCEDURE",,,"BREAST PEDICLE GRAFT     "
101556,"8585 ","PROCEDURE",,,"BREAST MUSCLE FLAP GRAFT "
101557,"8589 ","PROCEDURE",,,"MAMMOPLASTY NEC          "
101558,"8591 ","PROCEDURE",,,"ASPIRATION OF BREAST     "
101559,"8594 ","PROCEDURE",,,"BREAST IMPLANT REMOVAL   "
101560,"8595 ","PROCEDURE",,,"INSER BREAST TISSUE EXPA "
101561,"8596 ","PROCEDURE",,,"REMOVAL BREAST TISSUE EX "
101562,"8601 ","PROCEDURE",,,"ASPIRATION SKIN & SUBQ   "
101563,"8602 ","PROCEDURE",,,"SKIN DEFECT TATTOOING    "
101564,"8603 ","PROCEDURE",,,"INCISION PILONIDAL SINUS "
101565,"8604 ","PROCEDURE",,,"OTHER SKIN & SUBQ I & D  "
101566,"8605 ","PROCEDURE",,,"INCISION W/REMOVAL FOREI "
101567,"8606 ","PROCEDURE",,,"INSERTION INFUSION PUMP  "
101568,"8607 ","PROCEDURE",,,"INS TOTAL IMPLAN VAS ACC "
101569,"8609 ","PROCEDURE",,,"SKIN & SUBQ INCISION NEC "
101570,"8611 ","PROCEDURE",,,"SKIN & SUBQ BIOPSY       "
101571,"8621 ","PROCEDURE",,,"EXCISION OF PILONID CYST "
101572,"8622 ","PROCEDURE",,,"EXC WOUND DEBRIDEMENT    "
101573,"8623 ","PROCEDURE",,,"NAIL REMOVAL             "
101574,"8626 ","PROCEDURE",,,"LIGATION DERMAL APPENDAG "
101575,"8627 ","PROCEDURE",,,"DEBRID NAIL, BED OR NAIL "
101576,"8628 ","PROCEDURE",,,"NONEXCISIONAL DEBRIDEMEN "
101577,"863  ","PROCEDURE",,,"OTHER LOCAL DESTRUC SKIN "
101578,"864  ","PROCEDURE",,,"RADICAL EXCIS SKIN LES   "
101579,"8651 ","PROCEDURE",,,"REPLANTATION OF SCALP    "
101580,"8659 ","PROCEDURE",,,"SKIN SUTURE NEC          "
