ITEMID,LABEL,CATEGORY
410,"D5W 250.0ml + 50mcgkgmin Neosynephrine-k","IV Infusions"
411,"D5W 50.0ml + 100mghr Lasix","IV Infusions"
412,"Nepro 250.0str","IV Infusions"
414,".9% Normal Saline 200.0ml + 200mgmin Labetolol","IV Infusions"
415,"Carrier 250.0ml","IV Infusions"
416,"Fentanyl     mcg/hr","IV Drips"
417,".9% Normal Saline 250.0ml + 2500mcghr Fentanyl","IV Infusions"
419,".9% Normal Saline 100.0ml + 50Uhr Insulin","IV Infusions"
420,"D5W 250.0ml + 200mcgmin Nitroglycerine","IV Drips"
421,"Peptamen 100.0str","Tube Feeding"
423,"Bolus","Free Form Intake"
424,"free H2O","Free Form Intake"
425,"dialysis output",
428,"Urine Out Straight Cath",
430,"D5W 100.0ml + 2500mcghr Fentanyl","IV Infusions"
431,"Midazolam      mg/hr","IV Drips"
432,".9% Normal Saline 260.0ml","IV Infusions"
434,"D5W 200.0ml + 200mgmin Labetolol","IV Infusions"
435,".9% Normal Saline 200.0ml + 400mgmin Labetolol","IV Infusions"
436,"D5W 300.0ml + 1200mgmin Labetolol","IV Infusions"
437,"D5W 250.0ml + 800mcgkgmin Dopamine","IV Infusions"
439,"D5W 250.0ml + 1000mcgkgmin Dobutamine","IV Infusions"
440,"Carrier 500.0ml","IV Infusions"
442,"Sterile Water 60.0ml + 60mghr Ativan","IV Drips"
443,"Respalor","Tube Feeding"
445,"TPN 1700.0ml","Blood Products"
446,"Impact w/fiber 500.0str","Tube Feeding"
448,".9% Normal Saline 200.0ml","IV Infusions"
449,"epidural-marcaine","Free Form Intake"
450,"EBL",
451,"Paracentesis",
454,"D5W 250.0ml + 9mcgkgmin Reopro + 9mcgmin Reopro","IV Infusions"
455,".9% Normal Saline 50.0ml + 12.5mghr Dilaudid","IV Infusions"
457,"D5NS 100.0ml","IV Drips"
458,"Pre-Admission Intake 1000.0cc","IV Drips"
459,"D5W 250.0ml + 50mghr Dilaudid","IV Infusions"
461,"Tube Feeding 500.0ml","IV Drips"
463,"Tube Feeding 50.0ml","IV Drips"
464,".9% Normal Saline 100.0ml + 100mghr Lasix","IV Drips"
466,".9% Normal Saline 250.0ml + 250Uhr Insulin","IV Infusions"
467,"D5W 20.0ml + 20mghr Ativan","IV Drips"
469,"pancreatic drain","Free Form Intake"
470,"paracentesis",
472,"pleural tap",
474,".9% Normal Saline 100.0ml + 200mgmin Labetolol","IV Infusions"
475,"D5W 500.0ml + 500mghr Aminophylline + 500mgkghr Aminophylline","IV Infusions"
477,"Sterile Water 100.0ml + 100mgmin TPA","IV Infusions"
479,"D5W 50.0ml + 2500mcghr Fentanyl","IV Infusions"
480,".9% Normal Saline 900.0ml","IV Infusions"
482,"Amicar         GM/hr","IV Drips"
483,"D5W 250.0ml + 5gmhr Amicar","IV Infusions"
485,".9% Normal Saline 100.0ml + 200mghr Lasix","IV Drips"
486,"Sodium Bicarbonate","Free Form Intake"
487,"FREE WATER BOLUS","Free Form Intake"
490,"emesis",
492,"D5W 250.0ml + 2mcgmin Epinephrine","IV Infusions"
494,"Promote w/fiber 10.0str","IV Infusions"
495,"Promote w/fiber 100.0str","IV Infusions"
496,"D5W 250.0ml + 120mcgkgmin Neosynephrine-k","IV Infusions"
498,"Criticare HN","Tube Feeding"
499,"Doxacurium mg/kg/hr","IV Drips"
501,"Replete w/fiber 250.0str","IV Infusions"
502,".9% Normal Saline 250.0ml + 500mcgkgmin Dobutamine","IV Drips"
503,"readi - cat","Free Form Intake"
504,"IV MEDS","Free Form Intake"
507,"Dialysis out",
509,"Lipids 1000.0ml","IV Infusions"
511,"D5W 500.0ml + 50mghr Ativan","IV Infusions"
512,".9% Normal Saline 2500.0ml","IV Infusions"
513,"D5W 200.0ml + 80mghr Ativan","IV Infusions"
514,"D5W 400.0ml + 80mghr Ativan","IV Infusions"
515,"D5/.45NS 700.0ml","IV Infusions"
516,"3% NS","IV Infusions"
517,"3% Normal Saline","IV Infusions"
518,"D5 Ringers Lact. 1000.0ml","IV Infusions"
519,".9% Normal Saline 500.0ml + 100Umin Vasopressin","IV Infusions"
520,".9% Normal Saline 250.0ml + 100Umin Vasopressin","IV Infusions"
521,"Sterile Water 50.0ml","IV Infusions"
522,"Vecuronium mg/kg/hr","IV Drips"
523,".9% Normal Saline 250.0ml + 100mgkghr Vecuronium","IV Infusions"
524,"Nepro 100.0str","IV Infusions"
525,".9% Normal Saline 250.0ml + 40mgkghr Vecuronium","IV Infusions"
526,"Impact w/fiber 100.0str","IV Infusions"
527,"D5W 500.0ml + 4mgmin Procainamide","IV Drips"
528,"PPN 41.0ml","Tube Feeding"
529,"N/A 100.0vl + 100mcgkgmin Propofol","IV Drips"
530,".9% Normal Saline 100.0ml + 100mghr Morphine Sulfate","IV Drips"
531,"kcl 20 meq ivpb","Free Form Intake"
532,"FREE H2O","Free Form Intake"
533,"procedure","Free Form Intake"
534,"urine flush","Free Form Intake"
535,"hemodyalysis",
536,"pleural fluid",
537,"Cerebral Drain Subdural",
538,"Drain Out #2 Sump",
539,"TPN 2118.0ml","IV Infusions"
540,"Narcan   mcg/kg/min","IV Drips"
541,"D5W 500.0ml + 2mcgkgmin Narcan","IV Infusions"
542,".45% Normal Saline 500.0ml","IV Infusions"
543,"D5W 200.0ml + 200mghr Ativan","IV Infusions"
544,"Respalor 100.0str","IV Infusions"
545,"D5W 250.0ml + 240mcgkgmin Neosynephrine-k","IV Infusions"
546,"D5W 250.0ml + 500mcgkgmin Dobutamine","IV Infusions"
547,"D5W 300.0ml + 600mgmin Labetolol","IV Drips"
548,"ALBUMIN","Free Form Intake"
549,"protonix","Free Form Intake"
550,"PANTOPRAZOLE","Free Form Intake"
551,"bicarb push","Free Form Intake"
552,"cisatricurium","Free Form Intake"
553,"t tube flush","Free Form Intake"
554,"Drain Out #1 Sump",
555,"Promote","Tube Feeding"
556,".9% Normal Saline 250.0ml + 200mgkghr Atracurium","IV Infusions"
557,"D5W 250.0ml + 450mgmin Amiodarone","IV Infusions"
558,"D5W 500.0ml + 200mcgkgmin Nitroprusside","IV Infusions"
559,"D5W 250.0ml + 1600mcgkgmin Dopamine","IV Infusions"
560,"3% Normal Saline 500.0ml","IV Infusions"
561,"D5W 250.0ml + 25mcgmin Neosynephrine","IV Infusions"
562,"D5W 250.0ml + 10mcgkgmin Reopro + 10mcgmin Reopro","IV Infusions"
563,".9% Normal Saline 300.0ml + 1200mgmin Labetolol","IV Infusions"
564,"D5W 160.0ml + 160mghr Ativan","IV Infusions"
565,".9% Normal Saline 100.0ml + 5000mcghr Fentanyl","IV Infusions"
566,"Fentanyl Base 100.0ml + 5000mcghr Fentanyl (Conc)","IV Infusions"
567,"Respalor 1000.0str","IV Drips"
568,".9% Normal Saline 480.0ml","IV Infusions"
569,"D5W 480.0ml","IV Infusions"
571,"Lactated Ringers 100.0ml","IV Infusions"
572,"Impact w/fiber 20.0str","Cath Lab Intake"
574,".9% Normal Saline 100.0ml + 100mcghr Fentanyl","IV Infusions"
575,".9% Normal Saline 250.0ml + 500mcghr Fentanyl","IV Infusions"
576,"TPN 1049.0ml","IV Infusions"
577,".9% Normal Saline 300.0ml + 600mgmin Labetolol","IV Infusions"
578,"DEMEROL IV","Free Form Intake"
580,"Cath Lab Output","Free Form Intake"
582,"Meperidine cc/hr","Free Form Intake"
583,"readi-ct","Free Form Intake"
586,"bowel movement",
588,"D5W 250.0ml + 250mcghr Sandostatin","IV Infusions"
590,".9% Normal Saline 600.0ml + 1200mgmin Labetolol","PO/Gastric"
591,"Normal Saline_GU","GU Irrigant"
592,"Replete w/fiber 10000.0str","IV Infusions"
594,"TPN 1524.0ml","IV Nutrition"
595,"na phosphate","Free Form Intake"
596,"K-PHOS","Free Form Intake"
598,"r leg leaking fluid",
600,"Normal Saline_GU 50.0cc","IV Infusions"
601,"D5W 250.0ml + 360mgmin Amiodarone","IV Infusions"
603,".9% Normal Saline 100.0ml + 50mghr Midazolam","IV Infusions"
604,"D5W 1150.0ml","IV Infusions"
605,"Ampho-B_GU","GU Irrigant"
606,"D5W 250.0ml + 1000mghr Lasix","IV Infusions"
608,"D5W 500.0ml + 120mcgmin Neosynephrine","Cath Lab Intake"
609,".9% Normal Saline 100.0ml + 1000mcghr Fentanyl","IV Drips"
611,"NA BICARB","Free Form Intake"
612,"cath lab out",
614,"Drain Out #1 Jejunostomy Tube",
616,"D5W 250.0ml + 400mcgmin Nitroglycerine","IV Infusions"
617,"D5W 100.0ml + 1mcgkgmin Narcan","IV Infusions"
619,".9% Normal Saline 250.0ml + 250mcgkgmin Dobutamine","IV Infusions"
620,"D5W 25.0ml + 100mghr Lasix","IV Infusions"
621,".9% Normal Saline 250.0ml + 1000mcghr Fentanyl","IV Infusions"
622,".9% Normal Saline 250.0ml + 400mcgkgmin Dopamine","IV Infusions"
624,"dialysis",
626,".45% Normal Saline 75.0ml","IV Infusions"
627,"D5W 100.0ml + 20mghr Morphine Sulfate","IV Infusions"
628,"D5W 100.0ml + 10mghr Morphine Sulfate","IV Infusions"
629,"D5NS 250.0ml","IV Infusions"
631,".9% Normal Saline 2000.0ml","IV Infusions"
632,"NS w/ 40K","Free Form Intake"
633,"free water bolus","Free Form Intake"
634,"vasopressin","Free Form Intake"
636,"kayexalate PR","Free Form Intake"
638,"lepirudin","Free Form Intake"
639,"D5W 100.0ml + 500mcghr Sandostatin","IV Infusions"
