ITEMID,TEST_NAME,FLUID,CATEGORY,LOINC_CODE,LOINC_DESCRIPTION
50252,"SODIUM","STOOL","CHEMISTRY","15207-4","Sodium [Moles/volume] in Stool"
50255,"24Prot","URINE","CHEMISTRY","2889-4","Protein [Mass/time] in 24 hour Urine"
50257,"<CREAT-P>","URINE","CHEMISTRY",,
50258,"<CREAT-U>","URINE","CHEMISTRY",,
50259,"<VOL-U>","URINE","CHEMISTRY","28009-9","Volume of Urine"
50262,"CALCIUM","URINE","CHEMISTRY","17862-4","Calcium [Mass/volume] in Urine"
50264,"CREAT","URINE","CHEMISTRY","2161-8","Creatinine [Mass/volume] in Urine"
50266,"GLUCOSE","URINE","CHEMISTRY","2350-7","Glucose [Mass/volume] in Urine"
50267,"GR HOLD","URINE","CHEMISTRY",,
50270,"MAGNESIUM","URINE","CHEMISTRY","19124-7","Magnesium [Mass/volume] in Urine"
50273,"PHOSPHATE","URINE","CHEMISTRY","2778-9","Phosphate [Mass/volume] in Urine"
50276,"PROT/CREA","URINE","CHEMISTRY","2890-2","Protein/Creatinine [Mass ratio] in Urine"
50279,"TOTAL CO2","URINE","CHEMISTRY","13538-4","Carbon dioxide, total [Moles/volume] in Urine"
50282,"UHOLD","URINE","CHEMISTRY",,
50284,"URIC ACID","URINE","CHEMISTRY","3086-6","Urate [Mass/volume] in Urine"
50285,"VOLUME","URINE","CHEMISTRY","28009-9","Volume of Urine"
50289,"amphetmn","URINE","CHEMISTRY","3349-8","Amphetamines [Presence] in Urine"
50292,"cocaine","URINE","CHEMISTRY","3397-7","Cocaine [Presence] in Urine"
50294,"marijuana","URINE","CHEMISTRY","3427-2","Cannabinoids [Presence] in Urine"
50297,"pH","URINE","CHEMISTRY","2756-5","pH of Urine"
50299,"BANDS","ASCITES","HEMATOLOGY",,
50300,"BASOS","ASCITES","HEMATOLOGY","35069-4","Basophils/100 leukocytes in Peritoneal fluid"
50302,"HCT","ASCITES","HEMATOLOGY",,
50305,"MESOTHELI","ASCITES","HEMATOLOGY","30432-9","Mesothelial cells/100 leukocytes in Peritoneal fluid"
50306,"METAS","ASCITES","HEMATOLOGY",,
50308,"MYELOS","ASCITES","HEMATOLOGY",,
50309,"NUC RBCS","ASCITES","HEMATOLOGY",,
50310,"OTHER","ASCITES","HEMATOLOGY",,
50312,"POLYS","ASCITES","HEMATOLOGY","26520-7","Polymorphonuclear cells/100 leukocytes in Peritoneal fluid"
50315," LYMPH","BLOOD","HEMATOLOGY","26478-8","Lymphocytes/100 leukocytes in Blood"
50318,"ABS CD4","BLOOD","HEMATOLOGY","8127-3","CD4 cells [#/volume] in Blood"
50321,"ABS RET","BLOOD","HEMATOLOGY","14196-0","Reticulocytes [#/volume] in Red Blood Cells"
50325,"ADP","BLOOD","HEMATOLOGY",,
50326,"ANISOCYT","BLOOD","HEMATOLOGY","38892-6","Anisocytosis [Presence] in Blood"
50327,"ANTIPLASM","BLOOD","HEMATOLOGY",,
50328,"APT TEST","BLOOD","HEMATOLOGY",,
50329,"ARACH AC","BLOOD","HEMATOLOGY",,
50331,"ATYPS","BLOOD","HEMATOLOGY","13046-8","Lymphocytes Variant/100 leukocytes in Blood"
50335,"BLASTS","BLOOD","HEMATOLOGY","26446-5","Blasts/100 leukocytes in Blood"
50336,"BLEED TM","BLOOD","HEMATOLOGY","11067-6","Bleeding time"
50338,"CD10","BLOOD","HEMATOLOGY","8107-5","CD10 cells/100 cells in Blood"
50341,"CD13","BLOOD","HEMATOLOGY","8110-9","CD13 cells/100 cells in Blood"
50344,"CD15","BLOOD","HEMATOLOGY","17117-3","CD15 cells/100 cells in Blood"
50347,"CD19","BLOOD","HEMATOLOGY","8117-4","CD19 cells/100 cells in Blood"
50349,"CD20","BLOOD","HEMATOLOGY","8119-0","CD20 cells/100 cells in Blood"
50352,"CD3","BLOOD","HEMATOLOGY","8124-0","CD3 cells/100 cells in Blood"
50355,"CD38","BLOOD","HEMATOLOGY","8126-5","CD38 cells/100 cells in Blood"
50358,"CD41","BLOOD","HEMATOLOGY","17148-8","CD41 cells/100 cells in Blood"
50360,"CD5","BLOOD","HEMATOLOGY","8132-3","CD5 cells/100 cells in Blood"
50363,"CD59","BLOOD","HEMATOLOGY","17177-7","CD59 cells/100 cells in Blood"
50366,"CD71","BLOOD","HEMATOLOGY","8136-4","CD71 cells/100 cells in Blood"
50368,"CHR","BLOOD","HEMATOLOGY",,
50369,"COLLAGEN","BLOOD","HEMATOLOGY",,
50372,"ENVELOP","BLOOD","HEMATOLOGY",,
50373,"EOS","BLOOD","HEMATOLOGY","26450-7","Eosinophils/100 leukocytes in Blood"
50375,"EPI","BLOOD","HEMATOLOGY",,
50377,"FETAL HGB","BLOOD","HEMATOLOGY","4576-5","Hemoglobin F/Hemoglobin.total in Blood"
50379,"FMC-7","BLOOD","HEMATOLOGY","17220-5","FMC7 cells/100 cells in Blood"
50382,"GRAN CT","BLOOD","HEMATOLOGY","30394-1","Granulocytes [#/volume] in Blood"
50386,"HGB","BLOOD","HEMATOLOGY","718-7","Hemoglobin [Mass/volume] in Blood"
50388,"HGB A2","BLOOD","HEMATOLOGY","4551-8","Hemoglobin A2/Hemoglobin.total in Blood"
50391,"HGB S","BLOOD","HEMATOLOGY","4625-0","Hemoglobin S/Hemoglobin.total in Blood"
50395,"HYPERSEG","BLOOD","HEMATOLOGY","30450-1","Neutrophils.hypersegmented/100 leukocytes in Blood"
50398,"INH SCR","BLOOD","HEMATOLOGY",,
50399,"INR(PT)","BLOOD","HEMATOLOGY","34714-6","INR in Blood by Coagulation assay"
50400,"IPT","BLOOD","HEMATOLOGY",,
50402,"KAPPA","BLOOD","HEMATOLOGY",,
50403,"LAMBDA","BLOOD","HEMATOLOGY",,
50406,"LPLT","BLOOD","HEMATOLOGY","34167-7","Platelets Large [Presence] in Blood by Automated count"
50407,"LUPUS","BLOOD","HEMATOLOGY",,
50411,"MCH","BLOOD","HEMATOLOGY","28539-5","Erythrocyte mean corpuscular hemoglobin [Entitic mass]"
50414,"METAS","BLOOD","HEMATOLOGY","28541-1","Metamyelocytes/100 leukocytes in Blood"
50416,"MONO CT","BLOOD","HEMATOLOGY","26484-6","Monocytes [#/volume] in Blood"
50420,"NUC RBCS","BLOOD","HEMATOLOGY","26461-4","Nucleated Erythrocytes/100 erythrocytes in Blood"
50422,"OTHER","BLOOD","HEMATOLOGY",,
50425,"PARST SMR","BLOOD","HEMATOLOGY","24429-3","Parasite identified in Blood"
50427,"PLASMA","BLOOD","HEMATOLOGY","13047-6","Plasma cells/100 leukocytes in Blood"
50429,"PLT SMR","BLOOD","HEMATOLOGY","9317-9","Platelets [Presence] in Blood by Manual count"
50430,"PLTCLM","BLOOD","HEMATOLOGY","40741-1","Platelet clump [Presence] in Blood by Automated count"
50431,"POIKILOCY","BLOOD","HEMATOLOGY","779-9","Poikilocytosis [Presence] in Blood by Light microscopy"
50432,"POLYCHROM","BLOOD","HEMATOLOGY","10378-8","Polychromasia [Presence] in Blood by Light microscopy"
50434,"PROMYELO","BLOOD","HEMATOLOGY","26524-9","Promyelocytes/100 leukocytes in Blood"
50435,"PROT C AG","BLOOD","HEMATOLOGY","27820-0","Protein C Ag actual/normal in Platelet poor plasma by Immunologic method"
50436,"PROT C FN","BLOOD","HEMATOLOGY","27818-4","Protein C actual/normal in Platelet poor plasma by Chromogenic method"
50437,"PROT S AG","BLOOD","HEMATOLOGY","27823-4","Protein S Ag actual/normal in Platelet poor plasma by Immunologic method"
50438,"PROT S FN","BLOOD","HEMATOLOGY","31102-7","Protein S actual/normal in Platelet poor plasma by Chromogenic method"
50439,"PT","BLOOD","HEMATOLOGY","5964-2","Prothrombin time (PT) in Blood by Coagulation assay"
50440,"PTT","BLOOD","HEMATOLOGY","3173-2","Activated partial thrombplastin time (aPTT) in Blood by Coagulation assay"
50441,"QUAN G6PD","BLOOD","HEMATOLOGY","32546-4","Glucose-6-Phosphate dehydrogenase [Enzymatic activity/mass] in Red Blood Cells"
50443,"RBCF","BLOOD","HEMATOLOGY",,
50448,"RET MAN","BLOOD","HEMATOLOGY","31112-6","Reticulocytes/100 erythrocytes in Red Blood Cells by Manual"
50449,"RISTOCETN","BLOOD","HEMATOLOGY",,
50451,"SED RATE","BLOOD","HEMATOLOGY","30341-2","Erythrocyte sedimentation rate"
50454,"SICKLE PR","BLOOD","HEMATOLOGY","6864-3","Hemoglobin S [Presence] in Blood by Solubility test"
50457,"SUGAR H2O","BLOOD","HEMATOLOGY","12260-6","Sucrose hemolysis [Presence] of Red Blood Cells"
50463,"VIII","BLOOD","HEMATOLOGY","3209-4","Coagulation factor VIII activity actual/normal in Platelet poor plasma by Coagulation assay"
50468,"WBC","BLOOD","HEMATOLOGY","26464-8","Leukocytes [#/volume] in Blood"
50469,"X","BLOOD","HEMATOLOGY",,
50473,"YOUNG","BLOOD","HEMATOLOGY","51633-6","Platelets reticulated/100 platelets in Blood"
50474,"CD10","BONE MARROW","HEMATOLOGY","51216-0","CD10 cells/100 cells in Bone marrow"
50477,"CD11C","BONE MARROW","HEMATOLOGY","33202-3","CD11c cells/100 cells in Bone marrow"
50479,"CD14","BONE MARROW","HEMATOLOGY","32507-6","CD14 cells/100 cells in Bone marrow"
50481,"CD16","BONE MARROW","HEMATOLOGY",,
50483,"CD19","BONE MARROW","HEMATOLOGY","32525-8","CD19 cells/100 cells in Bone marrow"
50485,"CD20","BONE MARROW","HEMATOLOGY",,
50487,"CD3","BONE MARROW","HEMATOLOGY","32529-0","CD3 cells/100 cells in Bone marrow"
50489,"CD34","BONE MARROW","HEMATOLOGY","57400-4","CD34 cells/100 cells in Bone marrow"
50492,"CD45","BONE MARROW","HEMATOLOGY","51340-8","CD45 cells/100 cells in Bone marrow"
50494,"CD55","BONE MARROW","HEMATOLOGY","51344-0","CD55 cells/100 cells in Bone marrow"
50495,"CD56","BONE MARROW","HEMATOLOGY",,
50498,"CD7","BONE MARROW","HEMATOLOGY","35641-0","CD7 cells/100 cells in Bone marrow"
50499,"CD71","BONE MARROW","HEMATOLOGY",,
50501,"FMC-7","BONE MARROW","HEMATOLOGY",,
50503,"HLA-DR","BONE MARROW","HEMATOLOGY","51380-4","HLA-DR+ cells/100 cells in Bone marrow"
50504,"IPT","BONE MARROW","HEMATOLOGY",,
50506,"KAPPA","BONE MARROW","HEMATOLOGY",,
50507,"LAMBDA","BONE MARROW","HEMATOLOGY",,
50509,"ATYPS","CSF","HEMATOLOGY","30416-2","Lymphocytes Variant/100 leukocytes in Cerebral spinal fluid"
50513,"EOS","CSF","HEMATOLOGY","26451-5","Eosinophils/100 leukocytes in Cerebral spinal fluid"
50517,"MACROPHAG","CSF","HEMATOLOGY","30426-1","Macrophages/100 leukocytes in Cerebral spinal fluid"
50521,"MYELOS","CSF","HEMATOLOGY","30447-7","Myelocytes/100 leukocytes in Cerebral spinal fluid"
50523,"OTHER","CSF","HEMATOLOGY",,
50526,"RBC","CSF","HEMATOLOGY","26454-9","Erythrocytes [#/volume] in Cerebral spinal fluid"
50528,"YOUNG","CSF","HEMATOLOGY",,
50530,"BANDS","JOINT FLUID","HEMATOLOGY","33361-7","Neutrophils.band form/100 leukocytes in Synovial fluid"
50532,"BIREFRI","JOINT FLUID","HEMATOLOGY",,
50535,"HCT","JOINT FLUID","HEMATOLOGY",,
50536,"LOCATION","JOINT FLUID","HEMATOLOGY",,
50537,"LYMPHS","JOINT FLUID","HEMATOLOGY","26483-8","Lymphocytes/100 leukocytes in Synovial fluid"
50540,"METAS","JOINT FLUID","HEMATOLOGY",,
50541,"MONOS","JOINT FLUID","HEMATOLOGY","17835-0","Monocytes/100 leukocytes in Synovial fluid"
50543,"NUMBER","JOINT FLUID","HEMATOLOGY",,
50544,"OTHER","JOINT FLUID","HEMATOLOGY",,
50546,"RBC","JOINT FLUID","HEMATOLOGY","26458-0","Erythrocytes [#/volume] in Synovial fluid"
50547,"SHAPE","JOINT FLUID","HEMATOLOGY",,
50549,"ATYPS","OTHER BODY FLUID","HEMATOLOGY","30417-0","Lymphocytes Variant/100 leukocytes in Body fluid"
50552,"CD10","OTHER BODY FLUID","HEMATOLOGY","51217-8","CD10 cells/100 cells in Body fluid"
50554,"CD11C","OTHER BODY FLUID","HEMATOLOGY","51232-7","CD11c cells/100 cells in Body fluid"
50556,"CD138","OTHER BODY FLUID","HEMATOLOGY","42871-4","CD138 cells/100 cells in Body fluid"
50559,"CD16/56","OTHER BODY FLUID","HEMATOLOGY","18268-3","CD16+CD56+ cells/100 cells in Body fluid"
50561,"CD2","OTHER BODY FLUID","HEMATOLOGY","17827-7","CD2 cells/100 cells in Body fluid"
50564,"CD23","OTHER BODY FLUID","HEMATOLOGY","51269-9","CD23 cells/100 cells in Body fluid"
50566,"CD33","OTHER BODY FLUID","HEMATOLOGY","51294-7","CD33 cells/100 cells in Body fluid"
50567,"CD34","OTHER BODY FLUID","HEMATOLOGY",,
50569,"CD4","OTHER BODY FLUID","HEMATOLOGY","17822-8","CD4 cells/100 cells in Body fluid"
50572,"CD45","OTHER BODY FLUID","HEMATOLOGY","17823-6","CD45 cells/100 cells in Body fluid"
50574,"CD56","OTHER BODY FLUID","HEMATOLOGY","57424-4","CD56 cells/100 cells in Body fluid"
50576,"CD7","OTHER BODY FLUID","HEMATOLOGY","57425-1","CD7 cells/100 cells in Body fluid"
50579,"EOS","OTHER BODY FLUID","HEMATOLOGY","26452-3","Eosinophils/100 leukocytes in Body fluid"
50581,"GLYCO A ","OTHER BODY FLUID","HEMATOLOGY","57430-1","CD235a cells/100 cells in Body fluid"
50584,"IPT","OTHER BODY FLUID","HEMATOLOGY",,
50585,"KAPPA","OTHER BODY FLUID","HEMATOLOGY",,
50586,"LAMBDA","OTHER BODY FLUID","HEMATOLOGY",,
50587,"LYMPHS","OTHER BODY FLUID","HEMATOLOGY","11031-2","Lymphocytes/100 leukocytes in Body fluid"
50589,"MESOTHELI","OTHER BODY FLUID","HEMATOLOGY","28544-5","Mesothelial cells/100 leukocytes in Body fluid"
50592,"MYELOS","OTHER BODY FLUID","HEMATOLOGY","17800-4","Myelocytes/100 leukocytes in Body fluid"
50593,"NUC RBCS","OTHER BODY FLUID","HEMATOLOGY",,
50594,"OTHER","OTHER BODY FLUID","HEMATOLOGY",,
50597,"PROMYELO","OTHER BODY FLUID","HEMATOLOGY","17799-8","Promyelocytes/100 leukocytes in Body fluid"
50599,"WBC","OTHER BODY FLUID","HEMATOLOGY","26466-3","Leukocytes [#/volume] in Body fluid"
50601,"BANDS","PLEURAL","HEMATOLOGY",,
50602,"BASOS","PLEURAL","HEMATOLOGY","35070-2","Basophils/100 leukocytes in Pleural fluid"
50604,"HCT","PLEURAL","HEMATOLOGY",,
50607,"MESOTHELI","PLEURAL","HEMATOLOGY","30431-1","Mesothelial cells/100 leukocytes in Pleural fluid"
50608,"METAS","PLEURAL","HEMATOLOGY",,
50610,"MYELOS","PLEURAL","HEMATOLOGY",,
50611,"NUC RBCS","PLEURAL","HEMATOLOGY",,
50612,"OTHER","PLEURAL","HEMATOLOGY",,
50614,"POLYS","PLEURAL","HEMATOLOGY","26519-9","Polymorphonuclear cells/100 leukocytes in Pleural fluid"
50615,"PROMYELO","PLEURAL","HEMATOLOGY",,
50618,"YOUNG","PLEURAL","HEMATOLOGY",,
50621,"AM BIUR","URINE","HEMATOLOGY","12454-5","Urate crystals amorphous [Presence] in Urine sediment by Light microscopy"
50623,"APPEAR","URINE","HEMATOLOGY","5767-9","Appearance of Urine"
50624,"BACTERIA","URINE","HEMATOLOGY","25145-4","Bacteria [Presence] in Urine sediment by Light microscopy"
50625,"BILICRYST","URINE","HEMATOLOGY","5771-1","Bilirubin crystals [Presence] in Urine sediment by Light microscopy"
50626,"BILIRUBIN","URINE","HEMATOLOGY","1977-8","Bilirubin [Presence] in Urine"
50627,"BLOOD","URINE","HEMATOLOGY","5794-3","Hemoglobin [Presence] in Urine by Test strip"
50628,"BROAD","URINE","HEMATOLOGY","18487-9","Broad casts [#/area] in Urine sediment by Microscopy low power field"
50629,"CA CARB","URINE","HEMATOLOGY","5773-7","Calcium carbonate crystals [Presence] in Urine sediment by Light microscopy"
50630,"CA OXAL","URINE","HEMATOLOGY","5774-5","Calcium oxalate crystals [Presence] in Urine sediment by Light microscopy"
50631,"CA PHOS","URINE","HEMATOLOGY","5775-2","Calcium phosphate crystals [Presence] in Urine sediment by Light microscopy"
50632,"CELL","URINE","HEMATOLOGY",,
50633,"COLOR","URINE","HEMATOLOGY","5778-6","Color of Urine"
50635,"CYSTEINE","URINE","HEMATOLOGY","34277-4","Cysteine [Moles/volume] in Urine"
50636,"EOS","URINE","HEMATOLOGY","25156-1","Eosinophils [Presence] in Urine sediment by Light microscopy"
50637,"EPI","URINE","HEMATOLOGY","5787-7","Epithelial cells [#/area] in Urine sediment by Microscopy high power field"
50638,"FAT","URINE","HEMATOLOGY","2272-3","Fat [Presence] in Urine"
50639,"FATTY","URINE","HEMATOLOGY","5789-3","Fatty casts [#/area] in Urine sediment by Microscopy low power field"
50640,"FR FAT","URINE","HEMATOLOGY","53359-6","Fat [#/area] in Urine by Computer assisted method"
50641,"GLUCOSE","URINE","HEMATOLOGY","2350-7","Glucose [Mass/volume] in Urine"
50642,"GRANULAR","URINE","HEMATOLOGY","5793-5","Granular casts [#/area] in Urine sediment by Microscopy low power field"
50643,"HCT","URINE","HEMATOLOGY","17809-5","Hematocrit [Volume Fraction] of Urine"
50644,"HEMOSID","URINE","HEMATOLOGY","4644-1","Hemosiderin [Presence] in Urine"
50645,"HYALINE","URINE","HEMATOLOGY","5796-8","Hyaline casts [#/area] in Urine sediment by Microscopy low power field"
50646,"HYYEAST","URINE","HEMATOLOGY","41865-7","Yeast.hyphae [Presence] in Urine sediment by Light microscopy"
50647,"KETONE","URINE","HEMATOLOGY","49779-2","Ketones [Mass/volume] in Urine"
50648,"LEUK","URINE","HEMATOLOGY","33052-2","Leukocytes [Presence] in Urine"
50649,"MUCOUS","URINE","HEMATOLOGY","8247-9","Mucus [Presence] in Urine sediment by Light microscopy"
50650,"NITRITE","URINE","HEMATOLOGY","5802-4","Nitrite [Presence] in Urine by Test strip"
50651,"NONSQ EPI","URINE","HEMATOLOGY","41284-1","Epithelial cells.non-squamous [#/area] in Urine sediment by Microscopy high power field"
50652,"NSQ EPI","URINE","HEMATOLOGY","41284-1","Epithelial cells.non-squamous [#/area] in Urine sediment by Microscopy high power field"
50653,"PH","URINE","HEMATOLOGY","2756-5","pH of Urine"
50655,"PROTEIN","URINE","HEMATOLOGY","5804-0","Protein [Mass/volume] in Urine by Test strip"
50656,"RBC","URINE","HEMATOLOGY","13945-1","Erythrocytes [#/area] in Urine sediment by Microscopy high power field"
50657,"RBCCAST","URINE","HEMATOLOGY","5807-3","RBC casts [#/area] in Urine sediment by Microscopy low power field"
50658,"RBCCLUM","URINE","HEMATOLOGY",,
50659,"RENAL EPI","URINE","HEMATOLOGY","26052-1","Epithelial cells.renal [#/area] in Urine sediment by Microscopy high power field"
50660,"Red Sub","URINE","HEMATOLOGY",,
50661,"SP GRAV","URINE","HEMATOLOGY","5811-5","Specific gravity of Urine by Test strip"
50662,"SPERM","URINE","HEMATOLOGY","8248-7","Spermatozoa [Presence] in Urine sediment by Light microscopy"
50663,"SULF","URINE","HEMATOLOGY","5812-3","Sulfonamide crystals [Presence] in Urine sediment by Light microscopy"
50664,"TRANS EPI","URINE","HEMATOLOGY","30089-7","Transitional cells [#/area] in Urine sediment by Microscopy high power field"
50665,"TRICH","URINE","HEMATOLOGY","32724-7","Trichomonas sp [Presence] in Urine by Light microscopy"
50666,"TYPE","URINE","HEMATOLOGY","19159-3","Urinalysis specimen collection method"
50667,"TYROSINE","URINE","HEMATOLOGY","5815-6","Tyrosine crystals [Presence] in Urine sediment by Light microscopy"
50668,"UNKCAST","URINE","HEMATOLOGY",,
50669,"UNKCRYST","URINE","HEMATOLOGY","5783-6","Unidentified crystals [Presence] in Urine sediment by Light microscopy"
50670,"URIC ACID","URINE","HEMATOLOGY","5817-2","Urate crystals [Presence] in Urine sediment by Light microscopy"
50671,"UROBILNGN","URINE","HEMATOLOGY","3107-0","Urobilinogen [Mass/volume] in Urine"
50673,"WAXY","URINE","HEMATOLOGY","5819-8","Waxy casts [#/area] in Urine sediment by Microscopy low power field"
50674,"WBC","URINE","HEMATOLOGY","5821-4","Leukocytes [#/area] in Urine sediment by Microscopy high power field"
50675,"WBCCAST","URINE","HEMATOLOGY","5820-6","WBC casts [#/area] in Urine sediment by Microscopy low power field"
50676,"WBCCLUMP","URINE","HEMATOLOGY",,
50677,"YEAST","URINE","HEMATOLOGY","32356-8","Yeast [Presence] in Urine sediment by Light microscopy"
50678,"BLUE FROZ","BLOOD","CHEMISTRY",,
50679,"Billed","BLOOD","CHEMISTRY",,
50025,"TOTAL CO2","BLOOD","BLOOD GAS","1959-6","Bicarbonate [Moles/volume] in Blood"
50029,"calcHCT","BLOOD","BLOOD GAS","20570-8","Hematocrit [Volume Fraction] of Blood"
50031,"FLUID","OTHER BODY FLUID","BLOOD GAS","14725-6","[Type] of Body fluid"
50683,"FRUCAMN+","BLOOD","CHEMISTRY",,
50684,"H","BLOOD","CHEMISTRY",,
50685,"I","BLOOD","CHEMISTRY",,
50686,"LTGRN HLD","BLOOD","CHEMISTRY",,
50687,"MS-AFP","BLOOD","CHEMISTRY",,
50688,"MS-DIA","BLOOD","CHEMISTRY",,
50689,"MS-HCG","BLOOD","CHEMISTRY",,
50690,"MS-UE3","BLOOD","CHEMISTRY",,
50691,"MacrPRL","BLOOD","CHEMISTRY",,
50033,"NA+","OTHER BODY FLUID","BLOOD GAS","2950-4","Sodium [Moles/volume] in Body fluid"
50693,"PROS FX","BLOOD","CHEMISTRY",,
50034,"PCO2","OTHER BODY FLUID","BLOOD GAS","2023-0","Carbon dioxide [Partial pressure] in Body fluid"
50695,"STDY HOLD","BLOOD","CHEMISTRY",,
50696,"antiDGP","BLOOD","CHEMISTRY",,
50697,"eAG","BLOOD","CHEMISTRY",,
50698,"mthotrx","BLOOD","CHEMISTRY",,
50699,"tacroFK","BLOOD","CHEMISTRY",,
50700,"AF-AFP","OTHER BODY FLUID","CHEMISTRY",,
50701,"FETALFN","OTHER BODY FLUID","CHEMISTRY",,
50702,"LIPASE","PLEURAL","CHEMISTRY",,
50703,"STDYURINE","URINE","CHEMISTRY",,
50704,"PROMYELO","ASCITES","HEMATOLOGY",,
50705,"YOUNG","ASCITES","HEMATOLOGY",,
50706,"CD103","BLOOD","HEMATOLOGY",,
50707,"CD25","BLOOD","HEMATOLOGY",,
50708,"CD57","BLOOD","HEMATOLOGY",,
50709,"I-HOS","BLOOD","HEMATOLOGY",,
50710,"LUC","BLOOD","HEMATOLOGY",,
50711,"PLASMGN","BLOOD","HEMATOLOGY",,
50036,"PO2","OTHER BODY FLUID","BLOOD GAS","2706-0","Oxygen [Partial pressure] in Body fluid"
50713,"REPT CTL","BLOOD","HEMATOLOGY",,
50714,"TDT","BLOOD","HEMATOLOGY",,
50715,"WBCP","BLOOD","HEMATOLOGY",,
50716,"CD138","BONE MARROW","HEMATOLOGY",,
50717,"CD22","BONE MARROW","HEMATOLOGY",,
50718,"CD25","BONE MARROW","HEMATOLOGY",,
50719,"CD38","BONE MARROW","HEMATOLOGY",,
50720,"CD57","BONE MARROW","HEMATOLOGY",,
50721,"IPT","CSF","HEMATOLOGY",,
50722,"PROMYELO","CSF","HEMATOLOGY",,
50723,"MYELOS","JOINT FLUID","HEMATOLOGY",,
50724,"CD103","OTHER BODY FLUID","HEMATOLOGY",,
50725,"CD16","OTHER BODY FLUID","HEMATOLOGY",,
50726,"CD25","OTHER BODY FLUID","HEMATOLOGY",,
50727,"CD55","OTHER BODY FLUID","HEMATOLOGY",,
50728,"CD57","OTHER BODY FLUID","HEMATOLOGY",,
50729,"CD59","OTHER BODY FLUID","HEMATOLOGY",,
50730,"TDT","OTHER BODY FLUID","HEMATOLOGY",,
50731,"BLASTS","PLEURAL","HEMATOLOGY",,
50732,"CHOLEST","URINE","HEMATOLOGY",,
50733,"EPICAST","URINE","HEMATOLOGY",,
50734,"LEUCINE","URINE","HEMATOLOGY",,
50735,"OVALFAT","URINE","HEMATOLOGY",,
50038,"AMYLASE","ASCITES","CHEMISTRY","1797-0","Amylase [Enzymatic activity/volume] in Peritoneal fluid"
50370,"D-DIMER","BLOOD","HEMATOLOGY","48065-7","Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma"
50039,"CHLORIDE","ASCITES","CHEMISTRY","33366-6","Chloride [Moles/volume] in Peritoneal fluid"
50041,"CO2","ASCITES","CHEMISTRY","54360-3","Bicarbonate [Moles/volume] in Peritoneal fluid"
50042,"CREAT","ASCITES","CHEMISTRY","12191-3","Creatinine [Mass/volume] in Peritoneal fluid"
50044,"LD(LDH)","ASCITES","CHEMISTRY","2531-2","Lactate dehydrogenase [Enzymatic activity/volume] in Peritoneal fluid"
50045,"LIPASE","ASCITES","CHEMISTRY","32722-1","Triacylglycerol lipase [Enzymatic activity/volume] in Peritoneal fluid"
50048,"POTASSIUM","ASCITES","CHEMISTRY","49789-1","Potassium [Moles/volume] in Peritoneal fluid"
50050,"TOT BILI","ASCITES","CHEMISTRY","14422-0","Bilirubin [Mass/volume] in Peritoneal fluid"
50051,"TOT PROT","ASCITES","CHEMISTRY","2883-7","Protein [Mass/volume] in Peritoneal fluid"
50052,"TRIGLYCER","ASCITES","CHEMISTRY","14447-7","Triglyceride [Mass/volume] in Peritoneal fluid"
50054,"%HbA1c","BLOOD","CHEMISTRY","4548-4","Hemoglobin A1c (glycated HgB)/Hemoglobin.total [Moles] in Blood"
