ITEMID,LABEL,CATEGORY,DESCRIPTION
164,"Edema Location/Amt#2",,
165,"Education Barrier",,
166,"Education Handout",,
167,"Education Learner",,
168,"Education Method",,
169,"Education Readiness",,
170,"Education Response",,
171,"Education Topic #1",,
172,"Education Topic #2",,
173,"Effluent Press mmHg",,
174,"Emesis Appearance/ph",,
175,"Energy Expenditure",,
176,"Epi Infusion Rate",,
177,"Epidural Appearance",,
178,"Epidural Bolus",,
179,"Epidural Location",,
180,"Epidural Medication",,
181,"Epidural Total Dose",,
182,"Extubation Date",,
183,"Eye Care",,
184,"Eye Opening",,
185,"FIO2 Alarm-High",,
186,"FIO2 Alarm-Low",,
187,"Family Communication",,
188,"Femoral Pulse R/L",,
189,"FiO2 (Analyzed)",,
190,"FiO2 Set",,
191,"FiO2/O2 Delivered",,
192,"Filter Pressure mmHg",,
193,"Flatus",,
194,"Flow-By (lpm)",,
195,"Flow-by Sensitivity",,
196,"Foley Care",,
197,"Follows Commands",,
198,"GCS Total",,
199,"GI Guaiac/ph",,
200,"GI Intub #1/Site",,
201,"GI Intub #2/Site",,
202,"GI#1 Tube PlaceCheck",,
203,"GI#1 Tube Stat/Drain",,
204,"GI#2 Tube PlaceCheck",,
205,"GI#2 Tube Stat/Drain",,
206,"GU Cath Insert Date",,
207,"GU Catheter Size",,
208,"Gag Reflex",,
209,"Graft/Flap Pulse",,
210,"HOB",,
211,"Heart Rate",,
212,"Heart Rhythm",,
213,"Heart Sounds",,
216,"Height of Bed",,
217,"Heparin Dose",,
218,"High Insp. Pressure",,
219,"High Resp. Rate",,
221,"I:E Ratio",,
222,"I:E Ratio-Calculated",,
223,"I:E Ratio-TCPCV",,
224,"IABP Mean",,
225,"IABP setting",,
226,"ICP",,
227,"INV Line#1 D/C Date",,
228,"INV Line#1 Site Date",,
229,"INV Line#1 Type/Site",,
230,"INV Line#1 Zero/Cal",,
231,"INV Line#1InsertDate",,
232,"INV Line#1SiteAppear",,
233,"INV Line#2 D/C Date",,
234,"INV Line#2 Site Date",,
235,"INV Line#2 Type/Site",,
236,"INV Line#2 Zero/Cal",,
237,"INV Line#2InsertDate",,
238,"INV Line#2SiteAppear",,
239,"INV Line#3 D/C Date",,
240,"INV Line#3 Site Date",,
241,"INV Line#3 Type/Site",,
242,"INV Line#3 Zero/Cal",,
243,"INV Line#3InsertDate",,
244,"INV Line#3SiteAppear",,
245,"INV Line#4 D/C Date",,
246,"INV Line#4 Site Date",,
247,"INV Line#4 Type/Site",,
248,"INV Line#4 Zero/Cal",,
249,"INV Line#4InsertDate",,
250,"INV Line#4SiteAppear",,
251,"INV Line#5 D/C Date",,
252,"INV Line#5 Site Date",,
253,"INV Line#5 Type/Site",,
254,"INV Line#5 Zero/Cal",,
255,"INV Line#5InsertDate",,
256,"INV Line#5SiteAppear",,
257,"INV Line#6 D/C Date",,
258,"INV Line#6 Site Date",,
259,"INV Line#6 Type/Site",,
260,"INV Line#6 Zero/Cal",,
261,"INV Line#6InsertDate",,
262,"INV Line#6SiteAppear",,
263,"INV Line#7 D/C Date",,
264,"INV Line#7 Site Date",,
265,"INV Line#7 Type/Site",,
266,"INV Line#7 Zero/Cal",,
267,"INV Line#7InsertDate",,
268,"INV Line#7SiteAppear",,
269,"INV Line#8 D/C Date",,
270,"INV Line#8 Site Date",,
271,"INV Line#8 Type/Site",,
272,"INV Line#8 Zero/Cal",,
273,"INV Line#8InsertDate",,
274,"INV Line#8SiteAppear",,
283,"INV#1 WaveformAppear",,
284,"INV#2 WaveformAppear",,
285,"INV#3 WaveformAppear",,
286,"INV#4 WaveformAppear",,
287,"INV#5 WaveformAppear",,
288,"INV#6 WaveformAppear",,
289,"INV#7 WaveformAppear",,
290,"INV#8 WaveformAppear",,
291,"IV #1 D/C Date",,
292,"IV #1 Insert Date",,
294,"IV #1 Site/Size",,
295,"IV #2 D/C Date",,
296,"IV #2 Insert Date",,
297,"IV #2 Site/Size",,
298,"IV #3 D/C Date",,
299,"IV #3 Insert Date",,
300,"IV #3 Site/Size",,
301,"IV #4 D/C Date",,
302,"IV #4 Insert Date",,
303,"IV #4 Site/Size",,
308,"IV Drip Dose #1",,
309,"IV Drip Dose #2",,
310,"IV Drip Medication#1",,
311,"IV Drip Medication#2",,
320,"IV Site #1",,
321,"IV Site #2",,
322,"IV Site #3",,
323,"IV Site #4",,
324,"IV Site Appear #1",,
325,"IV Site Appear #2",,
326,"IV Site Appear #3",,
327,"IV Site Appear #4",,
338,"Imp Skin Cleanse #1",,
339,"Imp Skin Cleanse #2",,
340,"Imp Skin Cleanse #3",,
341,"Imp Skin Cleanse #4",,
342,"Imp Skin Cleanse #5",,
343,"Imp Skin Cleanse #6",,
344,"ImpSkin Character #1",,
345,"ImpSkin Character #2",,
346,"ImpSkin Character #3",,
347,"ImpSkin Character #4",,
348,"ImpSkin Character #5",,
349,"ImpSkin Character #6",,
350,"ImpSkin Drain/Amt #3",,
351,"ImpSkin Drain/Amt #6",,
352,"ImpSkin Drain/Amt#1",,
353,"ImpSkin Drain/Amt#2",,
354,"ImpSkin Drain/Amt#4",,
355,"ImpSkin Drain/Amt#5",,
356,"ImpSkin Treatment #1",,
357,"ImpSkin Treatment #2",,
358,"ImpSkin Treatment #3",,
359,"ImpSkin Treatment #4",,
360,"ImpSkin Treatment #5",,
361,"ImpSkin Treatment #6",,
362,"ImpSkin Wound Base#1",,
363,"ImpSkin Wound Base#2",,
364,"ImpSkin Wound Base#3",,
365,"ImpSkin Wound Base#4",,
366,"ImpSkin Wound Base#5",,
367,"ImpSkin Wound Base#6",,
368,"ImpSkin Wth/Lth #1",,
369,"ImpSkin Wth/Lth #2",,
370,"ImpSkin Wth/Lth #3",,
371,"ImpSkin Wth/Lth #4",,
372,"ImpSkin Wth/Lth #5",,
373,"ImpSkin Wth/Lth #6",,
374,"Impaired Skin Site#1",,
375,"Impaired Skin Site#2",,
376,"Impaired Skin Site#3",,
377,"Impaired Skin Site#4",,
378,"Impaired Skin Site#5",,
379,"Impaired Skin Site#6",,
380,"Inc Cleansing #1",,
381,"Inc Cleansing #2",,
382,"Inc Cleansing #3",,
383,"Inc Cleansing #4",,
384,"Inc Cleansing #5",,
385,"Inc Cleansing #6",,
386,"Inc Closure/Appear#1",,
387,"Inc Closure/Appear#2",,
388,"Inc Closure/Appear#3",,
389,"Inc Closure/Appear#4",,
390,"Inc Closure/Appear#5",,
391,"Inc Closure/Appear#6",,
392,"Inc Drainage/Amt #1",,
393,"Inc Drainage/Amt #2",,
394,"Inc Drainage/Amt #3",,
395,"Inc Drainage/Amt #4",,
396,"Inc Drainage/Amt #5",,
397,"Inc Drainage/Amt #6",,
398,"Inc Dsg/Status #1",,
399,"Inc Dsg/Status #2",,
400,"Inc Dsg/Status #3",,
401,"Inc Dsg/Status #5",,
402,"Inc Dsg/Status #6",,
403,"Inc Dsg/Status#4",,
404,"Inc/Wound Packing #1",,
405,"Inc/Wound Packing #2",,
406,"Inc/Wound Packing #3",,
407,"Inc/Wound Packing #4",,
408,"Inc/Wound Packing #5",,
409,"Inc/Wound Packing #6",,
410,"Incentive Spirometry",,
411,"Incision/Wound #1",,
412,"Incision/Wound #2",,
413,"Incision/Wound #3",,
414,"Incision/Wound #4",,
415,"Incision/Wound #5",,
416,"Incision/Wound #6",,
417,"Inspired Gas Temp",,
418,"Intubation Date",,
419,"KneeImmobilizer/Loc",,
420,"LAP",,
421,"LCW",,
422,"LCWI",,
423,"LL Strength/Movement",,
424,"LLE Temp/Color",,
425,"LLL Lung Sounds",,
426,"LU Strength/Movement",,
427,"LUE Temp/Color",,
428,"LUL Lung Sounds",,
429,"LVAD Flow LPM",,
430,"LVSW",,
431,"LVSWI",,
432,"Level of Conscious",,
434,"Low Exhaled Min Vol",,
435,"Low Exhaled Vt",,
436,"Low Insp. Pressure",,
437,"Low Peep",,
438,"MAP",,
439,"MDI #1 (Puff/Drug)",,
440,"MDI #2 (Puff/Drug)",,
441,"MDI #3 (Puff/Drug)",,
442,"Manual BP",,
443,"Manual BP Mean(calc)",,
444,"Mean Airway Pressure",,
445,"Mech. Minute Volume",,
446,"Micro-Neb Treatment",,
447,"Minimal Leak Present",,
448,"Minute Volume",,
449,"Minute Volume (Set)",,
450,"Minute Volume(Obser)",,
453,"Motor Deficits",,
454,"Motor Response",,
455,"NBP",,
456,"NBP Mean",,
457,"NMB Medication",,
458,"Nares R/L",,
459,"Neg Insp Force(>-25)",,
460,"Nerve Stimulated",,
461,"Neuro Drain Drainage",,
462,"Neuro Drain Lev/Loc",,
463,"Neuro Drain Status",,
464,"Neuro Drain Type",,
465,"Neuro Symptoms",,
466,"Nursing Consultation",,
467,"O2 Delivery Device",,
468,"O2 Delivery Device#2",,
469,"O2 Delivery Mode",,
470,"O2 Flow (lpm)",,
471,"O2 Flow (lpm) #2",,
472,"O2AV",,
473,"O2AVI",,
474,"O2ER",,
477,"Oral Care",,
478,"Oral Cavity",,
479,"Orientation",,
480,"Orthostat BP sitting",,
481,"Orthostat HR sitting",,
482,"OrthostatBP standing",,
483,"OrthostatHR standing",,
484,"Orthostatic BP lying",,
485,"Orthostatic HR lying",,
486,"Ostomy Care",,
487,"Ostomy/Appearance",,
490,"PAO2",,
491,"PAP Mean",,
492,"PAP S/D",,
493,"PCA 1 Hr Limit (mg)",,
494,"PCA Basal Rate",,
495,"PCA Bolus",,
496,"PCA Dose",,
497,"PCA Inject/Attempt",,
498,"PCA Lockout (Min)",,
499,"PCA Medication",,
500,"PCA Total Dose",,
501,"PCV Exh Vt (Obser)",,
502,"PCV Insp Vt (Obser)",,
503,"PCV Set Insp. Press",,
504,"PCWP",,
505,"PEEP",,
506,"PEEP Set",,
507,"PIP",,
508,"PT Splint Loc/Stat#1",,
509,"PT Splint Loc/Stat#2",,
510,"PT Splint Loc/Stat#3",,
511,"PT Splint Loc/Stat#4",,
512,"PVR",,
513,"PVRI",,
515,"Pacemaker Mode",,
516,"Pacemaker Type",,
517,"Pacer Rate",,
518,"Pacer Wire Condition",,
519,"Pacer Wires Atrial",,
520,"Pacer Wires Ground",,
521,"Pacer Wires Vent",,
522,"Pain Cause",,
523,"Pain Level (Movemnt)",,
524,"Pain Level (Rest)",,
525,"Pain Location",,
526,"Pain Management",,
527,"Pain Type",,
529,"Pause Time %",,
530,"Peak Flow",,
531,"Peak Flow % (pred)",,
532,"Peak Flow (Calc)",,
533,"Peak Flow (Pred)",,
534,"Peak Flow (actual)",,
535,"Peak Insp. Pressure",,
536,"Peri Care",,
537,"Pericard Drain Site",,
538,"Pericard Drain Stat",,
539,"Pericardial Drainage",,
541,"PetCO2/TcCO2",,
542,"Pin Care",,
543,"Plateau Pressure",,
544,"Plateau Time (7200)",,
545,"Plateau-Off",,
546,"Popliteal Pulse R/L",,
547,"Position",,
548,"Position Change",,
549,"PostTib. Pulses R/L",,
550,"Precautions",,
551,"PresSoreStage/Heal#1",,
552,"PresSoreStage/Heal#2",,
553,"PresSoreStage/Heal#3",,
554,"Press Sore Site #2",,
555,"PressSore Depth #1",,
556,"PressSore Depth #2",,
557,"PressSore Depth #3",,
558,"PressSore Drng/Amt#1",,
559,"PressSore Drng/Amt#2",,
560,"PressSore Drng/Amt#3",,
561,"PressSore Wth/Lth #1",,
562,"PressSore Wth/Lth #2",,
563,"PressSore Wth/Lth #3",,
564,"PressSoreCleansing#1",,
565,"PressSoreCleansing#2",,
566,"PressSoreCleansing#3",,
567,"PressSoreTreatment#1",,
568,"PressSoreTreatment#2",,
569,"PressSoreTreatment#3",,
570,"PressSoreWoundBase#1",,
571,"PressSoreWoundBase#2",,
572,"PressSoreWoundBase#3",,
573,"Pressure Sore Odor#1",,
574,"Pressure Sore Odor#2",,
575,"Pressure Sore Odor#3",,
576,"Pressure Sore Site#1",,
577,"Pressure Sore Site#3",,
578,"Pressure Support",,
579,"PressureReduceDevice",,
580,"Previous Weight",,
581,"Previous WeightF",,
582,"Procedures",,
583,"Pulses Paradoxus",,
584,"Pupil Response R/L",,
585,"Pupil Size R/L",,
586,"QTc",,
587,"Qs/Qt",,
588,"RCW",,
589,"RCWI",,
590,"RL Strength/Movement",,
591,"RLE Temp/Color",,
592,"RLE/LLE Sensation",,
593,"RLL Lung Sounds",,
594,"ROM",,
595,"RSBI (<200)",,
596,"RU Strength/Movement",,
597,"RUE Temp/Color",,
598,"RUE/LUE Sensation",,
599,"RUL Lung Sounds",,
600,"RVAD Flow LPM",,
601,"RVSW",,
602,"RVSWI",,
603,"Radial Pulse R/L",,
604,"Radiologic Study",,
605,"Reason For Restraint",,
606,"Rec. Breath Pressure",,
607,"Rec.Breath Time(sec)",,
608,"Recruit Breath",,
609,"Remote Alarm",,
610,"Removed x 5 Mins",,
611,"Replace Rate ml/hr",,
612,"Replace.Fluid Infuse",,
613,"Resp Quotient - (R)",,
614,"Resp Rate (Spont)",,
615,"Resp Rate (Total)",,
616,"Respiratory Effort",,
617,"Respiratory Pattern",,
618,"Respiratory Rate",,
619,"Respiratory Rate Set",,
620,"Responds to Stimuli",,
621,"Restraint Location",,
622,"Restraint Type",,
623,"Restraints Evaluated",,
624,"Return Pressure mmHg",,
625,"SVI",,
626,"SVR",,
627,"SVRI",,
628,"Sedation Score",,
629,"Seizure Activity",,
630,"Seizure Duration",,
631,"Sensitivity-Vent",,
632,"Sensory Level",,
637,"Side Rails",,
638,"Sigh Rate",,
639,"Sigh Tidal Volume",,
640,"Significant Events",,
641,"Sitter",,
642,"Skin Care",,
643,"Skin Color",,
644,"Skin Integrity",,
645,"Skin Temp/Condition",,
646,"SpO2",,
647,"Spare Trach Present",,
648,"Speech",,
649,"Spiritual Support",,
650,"Spon Minute VE L/min",,
651,"Spon RR (Mech.)",,
652,"Spon. Vt (L) (Mech.)",,
653,"Spont. Resp. Rate",,
654,"Spont. Tidal Volume",,
655,"Spontaneous Movement",,
656,"Sputum Color/Consist",,
657,"Sputum Source/Amt",,
659,"Stool Color/Consist",,
660,"Stool Guaiac",,
661,"Stool Management",,
662,"Stroke Volume",,
663,"Support Systems",,
664,"Swan SVO2",,
665,"System Integrity",,
666,"Systolic Unloading",,
667,"TCPCV Apnea Settings",,
668,"TCPCV Fixed I Time",,
669,"TCPCV I:E Ratio",,
670,"TCPCV Insp. Pressure",,
671,"TCPCV Insp. Time",,
672,"TCPCV-MAP",,
673,"TOF Response/Twitch",,
674,"Temp. Site",,
676,"Temperature C",,
677,"Temperature C (calc)",,
678,"Temperature F",,
679,"Temperature F (calc)",,
680,"Therapeutic Bed",,
681,"Tidal Volume",,
682,"Tidal Volume (Obser)",,
683,"Tidal Volume (Set)",,
684,"Tidal Volume (Spont)",,
686,"Total PEEP Level",,
687,"Trach Care",,
688,"Trach Cuff/Fenestra",,
689,"Trach Date",,
690,"Trach Size",,
691,"Tracheostomy Cuff",,
692,"Tracheostomy Type",,
693,"Tract/Imm Location#1",,
694,"Tract/Imm Location#2",,
695,"Tract/Imm Location#3",,
696,"Tract/Imm Location#4",,
697,"Traction/Immobile #1",,
698,"Traction/Immobile #2",,
699,"Traction/Immobile #3",,
700,"Traction/Immobile #4",,
701,"Transcut Pacer Rate",,
702,"Transcut Pad Place",,
703,"Transcutan Pacer",,
704,"Turn",,
705,"Untoward Effect",,
706,"Urine Color/Appear",,
707,"Urine Source",,
708,"VAD Beat Rate R/L",,
709,"VCO2 (180-200)",,
710,"VEN Lumen Volume",,
711,"VO2",,
712,"VO2 (200-250)",,
713,"VO2I",,
715,"Vd/Vt Ratio (40-60%)",,
716,"Venous Pressure",,
717,"Vent Sens/Capture",,
718,"Vent Threshold",,
719,"Vent mA/Sensitivity",,
720,"Ventilator Mode",,
721,"Ventilator No.",,
722,"Ventilator Type",,
723,"Verbal Response",,
724,"Vision - EPAP",,
725,"Vision - IPAP",,
726,"Vision - Mode",,
727,"Vision FiO2",,
728,"Vision Mask",,
729,"Vision Rate",,
730,"Vital Cap (>1.0)L",,
731,"WarmingDevice/Status",,
732,"Waveform-Vent",,
733,"Weight Change",,
734,"Working Pressure",,
735,"Wound Care",,
741,"avDO2",,
742,"calprevflg",,
762,"Admit Wt",,
763,"Daily Weight",,
768,"ACT (102-142)","Coags",
769,"ALT","Enzymes",
770,"AST","Enzymes",
772,"Albumin (>3.2)","Chemistry",
773,"Alk. Phosphate","Enzymes",
774,"Ammonia","Chemistry",
775,"Amylase","Enzymes",
776,"Arterial Base Excess","ABG",
777,"Arterial CO2(Calc)","ABG",
778,"Arterial PaCO2","ABG",
779,"Arterial PaO2","ABG",
780,"Arterial pH","ABG",
781,"BUN (6-20)","Chemistry",
782,"Bleeding Time","Coags",
783,"Blood Products","Hematology",
784,"CPK","Enzymes",
785,"CPK/MB","Enzymes",
786,"Calcium (8.4-10.2)","Chemistry",
787,"Carbon Dioxide","Chemistry",
788,"Chloride (100-112)","Chemistry",
789,"Cholesterol (<200)","Chemistry",
791,"Creatinine (0-1.3)","Chemistry",
792,"Cyclosporin","Drug Level",
793,"D-Dimer (0-500)","Coags",
794,"Differential-Atyps","Hematology",
795,"Differential-Bands","Hematology",
796,"Differential-Basos","Hematology",
797,"Differential-Eos","Hematology",
798,"Differential-Lymphs","Hematology",
799,"Differential-Monos","Hematology",
800,"Differential-Polys","Hematology",
801,"Digoxin","Drug Level",
802,"Dilantin","Drug Level",
803,"Direct Bili (0-0.3)","Chemistry",
804,"Ethanol","Drug Level",
805,"FK506","Drug Level",
806,"Fibrinogen (150-400)","Coags",
807,"Fingerstick Glucose","Chemistry",
808,"Gentamycin/Peak","Drug Level",
809,"Gentamycin/Random","Drug Level",
810,"Gentamycin/Trough","Drug Level",
811,"Glucose (70-105)","Chemistry",
812,"HCO3","ABG",
813,"Hematocrit","Hematology",
814,"Hemoglobin","Hematology",
815,"INR (2-4 ref. range)","Coags",
816,"Ionized Calcium","Chemistry",
817,"LDH","Enzymes",
818,"Lactic Acid(0.5-2.0)","Chemistry",
819,"Lidocaine","Drug Level",
820,"Lipase","Enzymes",
821,"Magnesium (1.6-2.6)","Chemistry",
822,"Mixed Venous O2","Blood Gases",
823,"Mixed Venous O2% Sat","Blood Gases",
824,"PT(11-13.5)","Coags",
825,"PTT(22-35)","Coags",
826,"Phenobarbital","Drug Level",
827,"Phosphorous(2.7-4.5)","Chemistry",
828,"Platelets","Hematology",
829,"Potassium (3.5-5.3)","Chemistry",
20002,"Respiratory SOFA Score","LCP","Calculated SOFA score due to respiratory failure (PaO2/FiO2 ratio) - by the MIMIC2 team"
831,"Procan","Drug level",
20003,"Hepatic SOFA Score","LCP","Calculated SOFA score due to hepatic failure (Bilirubin values) - by the MIMIC2 team"
20004,"Hematologic SOFA Score","LCP","Calculated SOFA score due to hematologic failure (Platelet count) - by the MIMIC2 team"
3056,"APNEA INTERVAL TIME",,
20005,"Pressor Cardiovascular SOFA Score","LCP","Calculated SOFA score due to cardiovascular failure (Pressors) - by the MIMIC2 team"
3058,"shaved",,
3059,"REE",,
3060,"RQ",,
3061,"VCO2",,
20006,"MAP Cardiovascular SOFA Score","LCP","Calculated SOFA score due to cardiovascular failure (MAP) - by the MIMIC2 team"
3063,"High MV Limits",,
3064,"DISCONNECT ALARM",,
20007,"Neurologic SOFA Score","LCP","Calculated SOFA score due to neurologic failure (Glasgow coma score) - by the MIMIC2 team"
3066,"albumin",,
3067,"FEM MAP",,
3068,"High Pressure Limit",,
3069,"ART R Groin",,
3070,"Nicardipine (mg/h)",,
3071,"ACE WRAP B LEGS",,
3072,"IRON  45-160",,
3074,"TRF   200-400",,
3075,"calTIBC  264-432",,
3077,"Migh Min Volume",,
3078,"alarm/high minute vl",,
3079,"high volume",,
3081,"SPONT TV'S",,
3082,"HIGH TIDAL VOL",,
3083,"spont Tidal volumes",,
3084,"photosensitive prec",,
3086,"spont Vt's",,
3087,"DEXTRAN 40  10%",,
3088,"DEXTRAN 40%",,
3089,"ELEVATE R ARM",,
3090,"ELEVATE R LEG 2 PIL",,
3091,"PILLOW AROUND R ARM",,
3094,"(L) FEM ART",,
3095,"(R) FEM ART",,
3097,"lf flap pulse",,
3098,"hi mv",,
3099,"T3 CC/HR",,
3100,"LOW MV",,
3101,"High Minute volume",,
3102,"NICARDIPINE MCQ/KG/'",,
3105,"HIGH MIN.VOL.",,
3106,"alcohol gtt",,
3107,"INS time",,
3108,"PA PRESSURE",,
3109,"Sodium Bicarb",,
3110,"bicarb drip 200/200",,
3111,"cpap level",,
3112,"epinephrine mcg/min",,
3113,"high min.vol",,
3114,"PCV Driving Pressure",,
3115,"PCV Total Pressure",,
3118,"THORACIC EXTENSION",,
3119,"HI MINUTE VOL",,
3120,"L AVF-BRUIT/THRILL",,
3121,"himv",,
3122,"Apnea",,
3124,"LEFT AXILLA PULSE",,
3125,"NICARDIPINE 5-15MG/H",,
3126,"SLOPE",,
3127,"Sitter at bedside.",,
3128,"BRACHIAL S/D",,
3131,"Shampoo",,
3132,"20# to skeletal tx",,
3134,"solumed mg/kg/hr",,
3135,"ATG",,
3136,"Tongue midline",,
3137,"Visual Field CheckL)",,
3138,"Visual field checkR)",,
3139,"LUE fistula",,
3140,"Urine Cl-",,
3142,"high rr",,
3143,"low insp pressure",,
3145,"L breast doppler",,
3147,"TPA #2 mg/hr",,
3148,"TPA#1 mg/hr",,
3158,"CK/VAGINAL BLEEDING",,
3160,"HIGH MV LIMIT",,
3161,"Hi Minute Volume",,
3167,"Drive Pres",,
3168,"HIGH MIN. VOL",,
3169,"multipodous boots",,
3172,"right groin sheath",,
3174,"Labetalol mcg/kg/min",,
3175,"BEAR HUGGER",,
3176,"Nicardip.mcg/kg/min",,
3177,"left fem. aline",,
3178,"right femoral aline",,
3179,"1:1 Sitter",,
3180,"APRV P-HI",,
3181,"APRV P-LOW",,
3182,"APRV T-HI",,
3183,"APRV T-LOW",,
3184,"Neo mcg/kg/min",,
3186,"nicardipine",,
3188,"neo mcq/kg/min",,
3189,"High Min. Vol",,
3190,"high  minute vol",,
3191,"DEFLATE RECTAL TUBE",,
3192,"BUMEX MG/HR",,
3194,"lab svo2",,
3195,"P insp",,
3196,"high min. vol,",,
3197,"INO LEVEL",,
3199,"valpro acid",,
3200,"High Minute Volume m",,
3201,"Methylhemaglobin",,
3202,"pin care",,
3204,"Pinsp.",,
3206,"40GmCaGluc/1000ccNS",,
3207,"High MMV",,
3208,"ATC % (size 7)",,
3209,"P LOW",,
3210,"pressure high",,
3211,"time high",,
3212,"time low",,
3213,"RT FEM ART LINE",,
3214,"Ca++ Gluconate",,
3215,"Xgris",,
3216,"NS FLUSH FOLEY",,
3217,"Abd binder",,
3218,"TCPCV Driving Press.",,
3219,"calcium gluconate",,
3220,"tbili",,
3222,"logroll",,
3223,"Bedbath",,
3226,"%cool mist",,
3228,"trch size",,
3233,"PEG SITE DRESSING",,
3235,"DRIVING PRESS",,
3236,"HI MINUTE VOLUME",,
3238,"CSF PRESSURE",,
3239,"NICARDIPINE MCG/KG/M",,
3240,"Nicardipine gtt",,
3241,"LFEMABP",,
3242,"NICARDIPINE MCQ/KG/M",,
